method,packet_size,N,payload_bytes,allocated_bytes,utilization,avg_bytes_per_pkt
fifo,64,10240,655360,901120,0.727273,88.00
chained_hash,64,10240,655360,1343488,0.487805,131.20
balanced_tree,64,10240,655360,1474560,0.444444,144.00
psn_map_fixed,64,10240,655360,52510720,0.012480,5128.00
psn_map_dynamic,64,10240,655360,1064960,0.615385,104.00
contiguous,64,10240,655360,901120,0.727273,88.00
fifo,128,10240,1310720,1556480,0.842105,152.00
chained_hash,128,10240,1310720,1998848,0.655738,195.20
balanced_tree,128,10240,1310720,2129920,0.615385,208.00
psn_map_fixed,128,10240,1310720,52510720,0.024961,5128.00
psn_map_dynamic,128,10240,1310720,1720320,0.761905,168.00
contiguous,128,10240,1310720,1556480,0.842105,152.00
fifo,256,10240,2621440,2867200,0.914286,280.00
chained_hash,256,10240,2621440,3309568,0.792079,323.20
balanced_tree,256,10240,2621440,3440640,0.761905,336.00
psn_map_fixed,256,10240,2621440,52510720,0.049922,5128.00
psn_map_dynamic,256,10240,2621440,3031040,0.864865,296.00
contiguous,256,10240,2621440,2867200,0.914286,280.00
fifo,512,10240,5242880,5488640,0.955224,536.00
chained_hash,512,10240,5242880,5931008,0.883978,579.20
balanced_tree,512,10240,5242880,6062080,0.864865,592.00
psn_map_fixed,512,10240,5242880,52510720,0.099844,5128.00
psn_map_dynamic,512,10240,5242880,5652480,0.927536,552.00
contiguous,512,10240,5242880,5488640,0.955224,536.00
fifo,1024,10240,10485760,10731520,0.977099,1048.00
chained_hash,1024,10240,10485760,11173888,0.938416,1091.20
balanced_tree,1024,10240,10485760,11304960,0.927536,1104.00
psn_map_fixed,1024,10240,10485760,52510720,0.199688,5128.00
psn_map_dynamic,1024,10240,10485760,10895360,0.962406,1064.00
contiguous,1024,10240,10485760,10731520,0.977099,1048.00
fifo,2048,10240,20971520,21217280,0.988417,2072.00
chained_hash,2048,10240,20971520,21659648,0.968230,2115.20
balanced_tree,2048,10240,20971520,21790720,0.962406,2128.00
psn_map_fixed,2048,10240,20971520,52510720,0.399376,5128.00
psn_map_dynamic,2048,10240,20971520,21381120,0.980843,2088.00
contiguous,2048,10240,20971520,21217280,0.988417,2072.00
fifo,4096,10240,41943040,42188800,0.994175,4120.00
chained_hash,4096,10240,41943040,42631168,0.983859,4163.20
balanced_tree,4096,10240,41943040,42762240,0.980843,4176.00
psn_map_fixed,4096,10240,41943040,52510720,0.798752,5128.00
psn_map_dynamic,4096,10240,41943040,42352640,0.990329,4136.00
contiguous,4096,10240,41943040,42188800,0.994175,4120.00
