method,latency_ns
fifo,11682.95
fifo,10583.20
fifo,10052.48
fifo,10369.04
fifo,11050.62
fifo,10978.71
fifo,11800.19
fifo,10219.75
fifo,11192.87
fifo,10971.67
fifo,10438.61
fifo,20485.61
fifo,9914.91
fifo,9685.12
fifo,9706.22
fifo,10415.94
fifo,9158.30
fifo,9695.28
fifo,9845.35
fifo,8776.09
fifo,9460.79
fifo,15509.01
fifo,9555.37
fifo,10421.41
fifo,8852.69
fifo,10039.19
fifo,9838.32
fifo,9211.45
fifo,10421.41
fifo,9701.53
fifo,9968.07
fifo,10788.77
fifo,9284.92
fifo,10981.05
fifo,9258.35
fifo,9507.69
fifo,9904.75
fifo,10422.19
fifo,9230.21
fifo,9731.23
fifo,9144.23
fifo,8947.26
fifo,10097.81
fifo,10759.07
fifo,9588.98
fifo,8471.25
fifo,9907.10
fifo,8683.07
fifo,11462.53
fifo,9920.38
fifo,8818.29
fifo,10095.47
fifo,10802.06
fifo,13389.24
fifo,16306.26
fifo,11400.78
fifo,12524.76
fifo,13876.97
fifo,11016.23
fifo,12132.38
fifo,8599.44
fifo,10351.84
fifo,8951.95
fifo,11543.82
fifo,9749.99
fifo,11969.02
fifo,12497.40
fifo,11065.47
fifo,11829.90
fifo,11127.21
fifo,9252.10
fifo,8883.95
fifo,10254.92
fifo,11017.79
fifo,10601.18
fifo,10721.55
fifo,10956.04
fifo,9601.48
fifo,12753.77
fifo,10868.50
fifo,9985.26
fifo,10876.32
fifo,10186.92
fifo,11260.87
fifo,11349.98
fifo,11689.20
fifo,12421.59
fifo,9250.53
fifo,10544.12
fifo,10026.69
fifo,10746.56
fifo,11991.69
fifo,10462.83
fifo,10387.01
fifo,9543.64
fifo,10712.95
fifo,9779.69
fifo,18280.65
fifo,10346.37
fifo,13677.66
fifo,12235.56
fifo,14752.39
fifo,11843.97
fifo,9826.59
fifo,8480.63
fifo,9700.75
fifo,10377.64
fifo,9965.72
fifo,13549.47
fifo,11074.85
fifo,11976.06
fifo,11916.66
fifo,10752.04
fifo,11879.13
fifo,9306.81
fifo,9414.67
fifo,10665.27
fifo,10977.14
fifo,14857.13
fifo,12403.61
fifo,9417.80
fifo,9239.59
fifo,10583.99
fifo,10032.16
fifo,9517.07
fifo,9962.59
fifo,10760.63
fifo,8536.13
fifo,10393.27
fifo,11102.98
fifo,9246.63
fifo,10400.30
fifo,10310.42
fifo,11440.64
fifo,10988.09
fifo,10636.35
fifo,10230.69
fifo,10482.38
fifo,10201.77
fifo,11026.38
fifo,8568.17
fifo,10557.41
fifo,11684.51
fifo,24425.79
fifo,19280.35
fifo,11589.94
fifo,18089.15
fifo,18406.49
fifo,29845.57
fifo,33833.43
fifo,10371.38
fifo,30861.68
fifo,18136.05
fifo,11128.00
fifo,36764.52
fifo,12476.30
fifo,11221.79
fifo,9886.78
fifo,11629.02
fifo,13400.96
fifo,10834.89
fifo,11607.92
fifo,10077.49
fifo,12590.42
fifo,14441.30
fifo,10623.85
fifo,12879.62
fifo,9684.34
fifo,13478.34
fifo,13024.22
fifo,12878.06
fifo,11811.14
fifo,12203.52
fifo,12043.28
fifo,10854.43
fifo,13965.30
fifo,11668.10
fifo,13844.93
fifo,11326.53
fifo,10430.01
fifo,11102.98
fifo,13393.93
fifo,12467.70
fifo,12366.09
fifo,10839.58
fifo,12515.38
fifo,13014.06
fifo,12185.53
fifo,12455.20
fifo,12631.85
fifo,12731.89
fifo,13755.82
fifo,11403.91
fifo,13924.65
fifo,12329.35
fifo,12193.35
fifo,12642.79
fifo,13928.56
fifo,12519.29
fifo,12871.02
fifo,11816.61
fifo,10815.35
fifo,14871.98
fifo,12800.67
fifo,13766.76
fifo,9732.01
fifo,11861.94
fifo,11291.36
fifo,13145.37
fifo,12727.20
fifo,11462.53
fifo,12924.17
fifo,11818.95
fifo,14001.25
fifo,12019.83
fifo,12914.01
fifo,11239.77
fifo,10610.56
fifo,11437.52
fifo,14454.59
fifo,9947.74
fifo,13626.85
fifo,9925.07
fifo,15606.71
fifo,10784.08
fifo,21840.17
fifo,12003.41
fifo,18142.30
fifo,38191.77
fifo,15394.89
fifo,11779.09
fifo,10176.76
fifo,10387.80
fifo,11380.46
fifo,12197.26
fifo,17729.60
fifo,17133.22
fifo,13103.16
fifo,14811.80
fifo,12800.67
fifo,25541.95
fifo,23626.97
fifo,15236.22
fifo,14488.20
fifo,15736.46
fifo,16582.18
fifo,17297.36
fifo,12403.61
fifo,15641.10
fifo,15143.99
fifo,12251.19
fifo,14487.42
fifo,13585.43
fifo,15476.18
fifo,13483.82
fifo,15569.19
fifo,12996.08
fifo,13171.95
fifo,12578.69
fifo,12679.52
fifo,12675.61
fifo,14175.55
fifo,14703.93
fifo,13634.67
fifo,11232.74
fifo,15319.07
fifo,13887.92
fifo,12513.82
fifo,12431.75
fifo,13081.28
fifo,10979.49
fifo,12578.69
fifo,10156.44
fifo,13706.58
fifo,11339.04
fifo,11635.27
fifo,11772.06
fifo,14148.20
fifo,13378.30
fifo,12613.08
fifo,11626.67
fifo,11946.36
fifo,13223.53
fifo,13744.88
fifo,13578.39
fifo,13592.46
fifo,23452.66
fifo,10338.56
fifo,14469.45
fifo,12907.75
fifo,11242.11
fifo,13262.61
fifo,11414.85
fifo,13244.64
fifo,14063.00
fifo,12740.49
fifo,12287.93
fifo,10438.60
fifo,22543.63
fifo,12275.42
fifo,9308.37
fifo,10764.54
fifo,11013.10
fifo,13100.82
fifo,11459.41
fifo,12479.42
fifo,11933.07
fifo,11646.21
fifo,10915.39
fifo,13123.49
fifo,11117.83
fifo,12521.63
fifo,11600.10
fifo,11307.77
fifo,9986.82
fifo,11135.81
fifo,10827.07
fifo,9880.52
fifo,10244.76
fifo,11069.38
fifo,9812.52
fifo,10108.76
fifo,9151.27
fifo,10331.52
fifo,17721.00
fifo,13858.21
fifo,12641.22
fifo,13649.52
fifo,12694.37
fifo,12201.95
fifo,11467.22
fifo,34625.99
fifo,14286.54
fifo,14177.12
fifo,12339.52
fifo,25137.06
fifo,11068.59
fifo,14155.23
fifo,12740.49
fifo,10631.66
fifo,14964.99
fifo,14282.64
fifo,13162.57
fifo,12577.91
fifo,10200.99
fifo,12241.03
fifo,11372.64
fifo,11195.22
fifo,14166.17
fifo,11708.74
fifo,12453.63
fifo,14588.25
fifo,13136.77
fifo,15479.30
fifo,12629.50
fifo,12592.76
fifo,15019.71
fifo,18011.77
fifo,12753.00
fifo,11589.94
fifo,11467.22
fifo,10607.43
fifo,14632.02
fifo,12379.38
fifo,12042.50
fifo,9441.25
fifo,11890.08
fifo,11201.47
fifo,12772.53
fifo,12075.33
fifo,11435.18
fifo,14418.64
fifo,11305.43
fifo,19288.16
fifo,12609.96
fifo,12212.11
fifo,11063.13
fifo,12715.48
fifo,11817.39
fifo,13724.56
fifo,9787.51
fifo,11929.95
fifo,10533.18
fifo,13168.82
fifo,11630.58
fifo,12223.84
fifo,11689.20
