method,latency_ns
fifo,325.16
fifo,262.62
fifo,355.64
fifo,262.63
fifo,309.52
fifo,256.37
fifo,318.12
fifo,273.57
fifo,818.36
fifo,268.10
fifo,323.59
fifo,259.50
fifo,360.33
fifo,267.32
fifo,310.30
fifo,257.15
fifo,329.85
fifo,259.50
fifo,311.09
fifo,278.26
fifo,313.43
fifo,309.52
fifo,311.87
fifo,310.30
fifo,307.96
fifo,274.35
fifo,378.30
fifo,261.07
fifo,305.61
fifo,699.55
fifo,307.96
fifo,303.27
fifo,308.74
fifo,257.93
fifo,329.84
fifo,262.63
fifo,305.61
fifo,257.15
fifo,305.62
fifo,261.84
fifo,358.76
fifo,452.56
fifo,336.88
fifo,258.72
fifo,312.65
fifo,393.94
fifo,313.43
fifo,265.75
fifo,311.09
fifo,260.28
fifo,810.54
fifo,280.60
fifo,320.47
fifo,259.50
fifo,307.96
fifo,260.28
fifo,311.09
fifo,257.93
fifo,318.12
fifo,303.27
fifo,318.90
fifo,258.72
fifo,363.46
fifo,264.97
fifo,308.74
fifo,253.25
fifo,307.18
fifo,255.59
fifo,352.51
fifo,269.66
fifo,302.49
fifo,263.41
fifo,729.26
fifo,257.94
fifo,304.83
fifo,254.81
fifo,306.40
fifo,257.15
fifo,365.80
fifo,261.06
fifo,399.41
fifo,259.50
fifo,493.99
fifo,258.72
fifo,304.83
fifo,493.21
fifo,315.78
fifo,349.39
fifo,291.55
fifo,243.87
fifo,300.93
fifo,241.52
fifo,290.77
fifo,819.14
fifo,294.67
fifo,237.61
fifo,316.56
fifo,285.29
fifo,290.76
fifo,244.65
fifo,288.42
fifo,241.52
fifo,293.11
fifo,238.40
fifo,300.93
fifo,238.39
fifo,337.66
fifo,260.28
fifo,284.51
fifo,241.52
fifo,286.07
fifo,243.09
fifo,284.51
fifo,261.06
fifo,289.98
fifo,250.12
fifo,898.09
fifo,248.56
fifo,280.60
fifo,254.03
fifo,284.51
fifo,243.09
fifo,300.14
fifo,243.09
fifo,288.42
fifo,355.64
fifo,291.55
fifo,240.74
fifo,294.67
fifo,240.74
fifo,289.20
fifo,254.81
fifo,300.14
fifo,242.30
fifo,329.06
fifo,249.34
fifo,285.30
fifo,236.83
fifo,282.95
fifo,240.74
fifo,696.43
fifo,240.74
fifo,293.11
fifo,245.43
fifo,333.75
fifo,245.43
fifo,283.73
fifo,244.65
fifo,284.51
fifo,254.81
fifo,284.51
fifo,240.74
fifo,284.51
fifo,280.60
fifo,288.42
fifo,240.74
fifo,283.73
fifo,239.96
fifo,416.61
fifo,244.65
fifo,288.42
fifo,242.30
fifo,286.86
fifo,662.82
fifo,284.51
fifo,239.96
fifo,303.27
fifo,250.12
fifo,291.55
fifo,240.74
fifo,294.67
fifo,240.74
fifo,357.98
fifo,250.12
fifo,297.02
fifo,255.59
fifo,299.36
fifo,242.30
fifo,289.20
fifo,244.65
fifo,289.98
fifo,241.52
fifo,329.06
fifo,240.74
fifo,302.49
fifo,242.31
fifo,287.64
fifo,630.77
fifo,664.38
fifo,239.18
fifo,288.42
fifo,282.95
fifo,289.20
fifo,257.94
fifo,287.64
fifo,239.96
fifo,286.07
fifo,241.52
fifo,282.95
fifo,243.08
fifo,329.06
fifo,240.74
fifo,298.58
fifo,242.31
fifo,287.64
fifo,243.87
fifo,288.42
fifo,238.39
fifo,290.77
fifo,240.74
fifo,725.35
fifo,255.59
fifo,290.77
fifo,243.08
fifo,284.51
fifo,239.18
fifo,289.98
fifo,241.52
fifo,283.73
fifo,347.82
fifo,308.74
fifo,250.12
fifo,284.51
fifo,235.27
fifo,293.89
fifo,241.52
fifo,297.02
fifo,245.43
fifo,299.36
fifo,289.98
fifo,289.21
fifo,241.52
fifo,291.55
fifo,246.99
fifo,819.92
fifo,239.18
fifo,298.58
fifo,252.47
fifo,341.57
fifo,239.96
fifo,298.58
fifo,239.96
fifo,292.33
fifo,243.09
fifo,282.95
fifo,243.87
fifo,300.14
fifo,239.96
fifo,333.75
fifo,250.12
chained_hash,229.02
chained_hash,93.01
chained_hash,93.79
chained_hash,94.58
chained_hash,95.36
chained_hash,95.36
chained_hash,94.58
chained_hash,495.55
chained_hash,96.92
chained_hash,94.58
chained_hash,94.58
chained_hash,94.58
chained_hash,97.70
chained_hash,96.14
chained_hash,95.36
chained_hash,94.58
chained_hash,95.36
chained_hash,94.58
chained_hash,93.80
chained_hash,95.36
chained_hash,94.58
chained_hash,94.58
chained_hash,94.58
chained_hash,93.80
chained_hash,93.80
chained_hash,95.36
chained_hash,94.58
chained_hash,93.79
chained_hash,94.58
chained_hash,93.79
chained_hash,93.79
chained_hash,92.23
chained_hash,93.01
chained_hash,96.14
chained_hash,95.36
chained_hash,93.79
chained_hash,93.01
chained_hash,93.01
chained_hash,93.01
chained_hash,93.79
chained_hash,93.80
chained_hash,95.36
chained_hash,93.01
chained_hash,93.80
chained_hash,93.80
chained_hash,95.36
chained_hash,93.01
chained_hash,94.58
chained_hash,95.36
chained_hash,93.01
chained_hash,96.14
chained_hash,93.79
chained_hash,94.58
chained_hash,95.36
chained_hash,96.92
chained_hash,95.36
chained_hash,93.80
chained_hash,98.49
chained_hash,94.58
chained_hash,93.79
chained_hash,482.26
chained_hash,95.36
chained_hash,94.57
chained_hash,93.80
chained_hash,93.79
chained_hash,94.58
chained_hash,94.58
chained_hash,95.36
chained_hash,94.57
chained_hash,94.58
chained_hash,93.80
chained_hash,93.79
chained_hash,95.36
chained_hash,94.58
chained_hash,94.58
chained_hash,93.80
chained_hash,96.14
chained_hash,93.01
chained_hash,95.36
chained_hash,93.79
chained_hash,94.58
chained_hash,94.58
chained_hash,154.76
chained_hash,93.79
chained_hash,94.58
chained_hash,95.36
chained_hash,95.36
chained_hash,94.58
chained_hash,93.80
chained_hash,93.79
chained_hash,95.36
chained_hash,94.58
chained_hash,95.36
chained_hash,96.14
chained_hash,93.80
chained_hash,95.36
chained_hash,94.58
chained_hash,95.36
chained_hash,95.36
chained_hash,96.14
chained_hash,94.57
chained_hash,93.01
chained_hash,97.70
chained_hash,93.79
chained_hash,94.58
chained_hash,93.80
chained_hash,93.02
chained_hash,93.01
chained_hash,94.58
chained_hash,93.79
chained_hash,95.36
chained_hash,93.01
chained_hash,93.80
chained_hash,94.58
chained_hash,94.58
chained_hash,93.01
