scenario,K,npp,total_packets,packet_size,ring_bytes,block_bytes,allocated_bytes,utilization
vary_K,1,10240,10240,1024,81920,10813440,10895360,0.962406
vary_K_tiered,1,10240,10240,1024,501760,10813440,11315200,0.926697
vary_K,8,10240,81920,1024,655360,86507520,87162880,0.962406
vary_K_tiered,8,10240,81920,1024,4014080,86507520,90521600,0.926697
vary_K,64,10240,655360,1024,5242880,692060160,697303040,0.962406
vary_K_tiered,64,10240,655360,1024,32112640,692060160,724172800,0.926697
vary_K,256,10240,2621440,1024,20971520,2768240640,2789212160,0.962406
vary_K_tiered,256,10240,2621440,1024,128450560,2768240640,2896691200,0.926697
amortize,1,256,256,1024,81920,270336,352256,0.744186
amortize_tiered,1,256,256,1024,501760,270336,772096,0.339523
amortize,1,512,512,1024,81920,540672,622592,0.842105
amortize_tiered,1,512,512,1024,501760,540672,1042432,0.502947
amortize,1,1024,1024,1024,81920,1081344,1163264,0.901408
amortize_tiered,1,1024,1024,1024,501760,1081344,1583104,0.662354
amortize,1,2048,2048,1024,81920,2162688,2244608,0.934307
amortize_tiered,1,2048,2048,1024,501760,2162688,2664448,0.787087
amortize,1,4096,4096,1024,81920,4325376,4407296,0.951673
amortize_tiered,1,4096,4096,1024,501760,4325376,4827136,0.868901
amortize,1,10240,10240,1024,81920,10813440,10895360,0.962406
amortize_tiered,1,10240,10240,1024,501760,10813440,11315200,0.926697
