method,N,avg_cmp,std_cmp
fifo,512,256.498047,7.656995
chained_hash,512,1.000000,0.000000
balanced_tree,512,8.251172,0.065838
psn_tiered,512,0.000000,0.000000
fifo,1024,510.940234,7.880902
chained_hash,1024,1.000000,0.000000
balanced_tree,1024,9.264648,0.068181
psn_tiered,1024,0.000000,0.000000
fifo,2048,1018.799609,11.664779
chained_hash,2048,1.000000,0.000000
balanced_tree,2048,10.218359,0.039347
psn_tiered,2048,0.000000,0.000000
fifo,4096,2060.692822,17.206949
chained_hash,4096,1.097852,0.003623
balanced_tree,4096,11.247119,0.035131
psn_tiered,4096,0.000000,0.000000
fifo,8192,4103.849683,18.318923
chained_hash,8192,1.597046,0.002135
balanced_tree,8192,12.281714,0.029203
psn_tiered,8192,0.000000,0.000000
fifo,10240,5122.145742,23.895799
chained_hash,10240,1.820332,0.009211
balanced_tree,10240,12.601484,0.025469
psn_tiered,10240,0.000000,0.000000
