rate,method,miss_p50,accuracy
0.000,fifo,0.00,100.00
0.001,fifo,22734.70,100.00
0.005,fifo,19636.22,100.00
0.010,fifo,23474.33,100.00
0.020,fifo,30021.57,100.00
0.050,fifo,20231.21,100.00
0.100,fifo,19937.23,100.00
0.000,chained_hash,0.00,100.00
0.001,chained_hash,33.62,100.00
0.005,chained_hash,32.06,100.00
0.010,chained_hash,31.27,100.00
0.020,chained_hash,35.97,100.00
0.050,chained_hash,33.62,100.00
0.100,chained_hash,31.27,100.00
0.000,balanced_tree,0.00,100.00
0.001,balanced_tree,79.75,100.00
0.005,balanced_tree,89.91,100.00
0.010,balanced_tree,104.77,100.00
0.020,balanced_tree,108.68,100.00
0.050,balanced_tree,108.68,100.00
0.100,balanced_tree,220.48,100.00
0.000,psn_fixed,0.00,100.00
0.001,psn_fixed,32.06,100.00
0.005,psn_fixed,36.75,100.00
0.010,psn_fixed,33.62,100.00
0.020,psn_fixed,34.40,100.00
0.050,psn_fixed,34.40,100.00
0.100,psn_fixed,35.18,100.00
0.000,psn_dynamic,0.00,100.00
0.001,psn_dynamic,32.06,100.00
0.005,psn_dynamic,60.20,100.00
0.010,psn_dynamic,35.97,100.00
0.020,psn_dynamic,36.75,100.00
0.050,psn_dynamic,37.53,100.00
0.100,psn_dynamic,35.97,100.00
0.000,psn_tiered,0.00,100.00
0.001,psn_tiered,36.75,100.00
0.005,psn_tiered,37.53,100.00
0.010,psn_tiered,36.75,100.00
0.020,psn_tiered,35.97,100.00
0.050,psn_tiered,33.62,100.00
0.100,psn_tiered,33.62,100.00
