scenario,K,npp,total_packets,packet_size,ring_bytes,block_bytes,allocated_bytes,utilization
vary_K,1,10240,10240,1024,81920,10813440,10895360,0.962406
vary_K_tiered,1,10240,10240,1024,419840,10813440,11233280,0.933455
vary_K,8,10240,81920,1024,655360,86507520,87162880,0.962406
vary_K_tiered,8,10240,81920,1024,3358720,86507520,89866240,0.933455
vary_K,64,10240,655360,1024,5242880,692060160,697303040,0.962406
vary_K_tiered,64,10240,655360,1024,26869760,692060160,718929920,0.933455
vary_K,256,10240,2621440,1024,20971520,2768240640,2789212160,0.962406
vary_K_tiered,256,10240,2621440,1024,107479040,2768240640,2875719680,0.933455
amortize,1,256,256,1024,81920,270336,352256,0.744186
amortize_tiered,1,256,256,1024,419840,270336,690176,0.379822
amortize,1,512,512,1024,81920,540672,622592,0.842105
amortize_tiered,1,512,512,1024,419840,540672,960512,0.545842
amortize,1,1024,1024,1024,81920,1081344,1163264,0.901408
amortize_tiered,1,1024,1024,1024,419840,1081344,1501184,0.698499
amortize,1,2048,2048,1024,81920,2162688,2244608,0.934307
amortize_tiered,1,2048,2048,1024,419840,2162688,2582528,0.812054
amortize,1,4096,4096,1024,81920,4325376,4407296,0.951673
amortize_tiered,1,4096,4096,1024,419840,4325376,4745216,0.883902
amortize,1,10240,10240,1024,81920,10813440,10895360,0.962406
amortize_tiered,1,10240,10240,1024,419840,10813440,11233280,0.933455
