# exp1a store time cost (batch-amortized). N=10240 timed_ops=500000 reps=5 warm=500000
# B: main=8192 (n_batches=61), xval=1024 (n_batches=488)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), psn_dynblock_fixed=S=4096 固定
# p50=主指标 p90=次指标; p99 仅留痕(VM ~2ms 调度停顿污染 ~1% 批次, 不可用); block_S=0 表示非 dynblock
method,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_resize
# --- B=8192 (main): floor median=0.549 ns/op, samples=305 ---
fifo_bounded,256,10240,8192,61,5,11.357,3.877,10.450,15.932,23.941,0.549,0,0,0
chained_hash_bounded,256,10240,8192,61,5,13.972,16.866,11.952,17.104,31.363,0.549,0,0,0
balanced_tree_bounded,256,10240,8192,61,5,94.477,27.264,90.403,104.431,203.380,0.549,0,0,0
psn_dynblock,256,10240,8192,61,5,15.300,4.879,14.223,19.949,35.429,0.549,256,0,0
psn_dynblock_fixed,256,10240,8192,61,5,22.024,10.799,19.765,27.164,41.716,0.549,4096,0,0
index_only,256,10240,8192,61,5,2.041,0.675,1.917,2.198,6.959,0.549,0,0,0
fifo_bounded,512,10240,8192,61,5,17.789,3.745,16.457,22.488,31.376,0.549,0,0,0
chained_hash_bounded,512,10240,8192,61,5,19.361,3.893,18.447,23.465,32.120,0.549,0,0,0
balanced_tree_bounded,512,10240,8192,61,5,94.980,18.116,92.637,105.542,184.359,0.549,0,0,0
psn_dynblock,512,10240,8192,61,5,22.116,3.749,20.950,27.445,34.782,0.549,512,0,0
psn_dynblock_fixed,512,10240,8192,61,5,34.401,6.163,32.865,41.936,53.448,0.549,4096,0,0
index_only,512,10240,8192,61,5,2.284,1.949,1.941,2.173,9.657,0.549,0,0,0
fifo_bounded,1024,10240,8192,61,5,44.653,19.631,39.299,59.638,120.766,0.549,0,0,0
chained_hash_bounded,1024,10240,8192,61,5,52.827,36.574,45.855,72.469,161.713,0.549,0,0,0
balanced_tree_bounded,1024,10240,8192,61,5,110.052,38.975,102.453,126.296,285.689,0.549,0,0,0
psn_dynblock,1024,10240,8192,61,5,35.841,4.511,33.671,41.264,52.374,0.549,1024,0,0
psn_dynblock_fixed,1024,10240,8192,61,5,100.234,34.817,90.269,131.301,244.034,0.549,4096,0,0
index_only,1024,10240,8192,61,5,2.470,1.072,2.259,2.442,8.143,0.549,0,0,0
fifo_bounded,2048,10240,8192,61,5,137.975,38.516,132.754,175.935,284.688,0.549,0,0,0
chained_hash_bounded,2048,10240,8192,61,5,144.400,32.355,138.175,180.538,239.590,0.549,0,0,0
balanced_tree_bounded,2048,10240,8192,61,5,244.570,128.348,227.504,288.680,766.908,0.549,0,0,0
psn_dynblock,2048,10240,8192,61,5,128.913,26.350,122.926,162.274,212.854,0.549,2048,0,0
psn_dynblock_fixed,2048,10240,8192,61,5,253.094,21.769,247.758,281.465,329.066,0.549,4096,0,0
index_only,2048,10240,8192,61,5,2.445,0.940,2.283,2.454,8.729,0.549,0,0,0
fifo_bounded,4096,10240,8192,61,5,476.520,51.483,464.994,523.448,658.693,0.549,0,0,0
chained_hash_bounded,4096,10240,8192,61,5,483.317,35.030,473.735,524.937,579.069,0.549,0,0,0
balanced_tree_bounded,4096,10240,8192,61,5,567.880,69.435,554.909,601.826,790.544,0.549,0,0,0
psn_dynblock,4096,10240,8192,61,5,447.976,59.367,435.926,484.601,574.333,0.549,4096,0,0
psn_dynblock_fixed,4096,10240,8192,61,5,442.990,43.908,432.752,475.896,662.477,0.549,4096,0,0
index_only,4096,10240,8192,61,5,2.218,1.003,2.051,2.307,8.253,0.549,0,0,0
# --- B=1024 (xval): floor median=4.102 ns/op, samples=2440 ---
fifo_bounded,256,10240,1024,488,5,13.875,6.683,12.697,15.627,62.995,4.102,0,0,0
chained_hash_bounded,256,10240,1024,488,5,16.930,10.018,14.943,19.533,65.144,4.102,0,0,0
balanced_tree_bounded,256,10240,1024,488,5,94.015,32.045,88.389,130.483,190.939,4.102,0,0,0
psn_dynblock,256,10240,1024,488,5,19.119,12.134,16.994,19.143,73.446,4.102,256,0,0
psn_dynblock_fixed,256,10240,1024,488,5,28.311,53.558,23.831,27.737,89.952,4.102,4096,0,0
index_only,256,10240,1024,488,5,6.834,13.898,6.056,6.446,18.752,4.102,0,0,0
fifo_bounded,512,10240,1024,488,5,25.506,80.076,19.827,23.538,79.696,4.102,0,0,0
chained_hash_bounded,512,10240,1024,488,5,25.864,36.226,22.268,27.054,75.399,4.102,0,0,0
balanced_tree_bounded,512,10240,1024,488,5,103.173,74.413,93.077,139.371,212.720,4.102,0,0,0
psn_dynblock,512,10240,1024,488,5,27.758,16.674,25.003,27.444,83.213,4.102,512,0,0
psn_dynblock_fixed,512,10240,1024,488,5,35.698,36.269,31.351,36.625,99.816,4.102,4096,0,0
index_only,512,10240,1024,488,5,6.096,3.379,5.762,6.348,8.399,4.102,0,0,0
fifo_bounded,1024,10240,1024,488,5,37.253,16.098,33.597,38.872,100.792,4.102,0,0,0
chained_hash_bounded,1024,10240,1024,488,5,41.009,21.565,36.821,42.485,107.825,4.102,0,0,0
balanced_tree_bounded,1024,10240,1024,488,5,116.945,66.591,102.746,158.709,264.776,4.102,0,0,0
psn_dynblock,1024,10240,1024,488,5,43.355,27.974,37.895,50.494,116.029,4.102,1024,0,0
psn_dynblock_fixed,1024,10240,1024,488,5,89.914,35.900,83.310,127.163,188.498,4.102,4096,0,0
index_only,1024,10240,1024,488,5,6.176,5.328,5.762,5.958,8.399,4.102,0,0,0
fifo_bounded,2048,10240,1024,488,5,130.318,44.090,124.233,171.309,249.149,4.102,0,0,0
chained_hash_bounded,2048,10240,1024,488,5,177.329,173.428,150.603,237.429,603.486,4.102,0,0,0
balanced_tree_bounded,2048,10240,1024,488,5,238.305,84.200,233.229,300.620,436.670,4.102,0,0,0
psn_dynblock,2048,10240,1024,488,5,149.629,82.817,136.246,198.655,363.225,4.102,2048,0,0
psn_dynblock_fixed,2048,10240,1024,488,5,271.198,111.335,250.224,312.535,677.421,4.102,4096,0,0
index_only,2048,10240,1024,488,5,6.137,7.707,5.372,6.153,15.334,4.102,0,0,0
fifo_bounded,4096,10240,1024,488,5,483.676,143.407,469.389,530.236,801.458,4.102,0,0,0
chained_hash_bounded,4096,10240,1024,488,5,496.708,62.846,492.536,548.695,681.523,4.102,0,0,0
balanced_tree_bounded,4096,10240,1024,488,5,603.010,153.202,580.730,684.062,1148.665,4.102,0,0,0
psn_dynblock,4096,10240,1024,488,5,450.522,72.876,441.652,515.195,653.004,4.102,4096,0,0
psn_dynblock_fixed,4096,10240,1024,488,5,465.452,144.037,447.707,523.399,792.766,4.102,4096,0,0
index_only,4096,10240,1024,488,5,6.511,4.374,6.153,6.544,9.376,4.102,0,0,0
