# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy 全过程)
# reorder: 0=仅取包; 1=取包前先把 PSN 集升序整理(仅 SR; GBN 输出天然有序故恒 0)
# N=缓存深度(工作集条数); dynblock 环固定 10240 存 N 条(Φ 位置索引 O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(VM ~2ms 调度停顿污染 ~1% 批次, 不可用)
# floor(空批,读钟/B): B=512 median=7.228 ns/op; B=32(xval) median=115.636 ns/op
method,mode,N,payload,B,n_batches,reps,reorder,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
fifo_bounded,gbn_long64,512,1024,512,32,5,0,23900.328,1583.219,23523.942,26317.031,27910.375
chained_hash_bounded,gbn_long64,512,1024,512,32,5,0,1564.366,347.556,1507.982,1761.527,3088.434
balanced_tree_bounded,gbn_long64,512,1024,512,32,5,0,1785.371,266.295,1722.655,1989.873,3182.196
psn_dynblock,gbn_long64,512,1024,512,32,5,0,1496.693,119.143,1473.408,1614.049,2015.657
psn_dynblock_adaptive,gbn_long64,512,1024,512,32,5,0,1564.652,229.340,1505.443,1750.002,2678.232
index_only,gbn_long64,512,1024,512,32,5,0,293.208,339.008,251.787,347.696,1187.048
fifo_bounded,gbn_short8,512,1024,512,32,5,0,3324.873,1132.668,2980.218,3984.629,9693.476
chained_hash_bounded,gbn_short8,512,1024,512,32,5,0,144.323,28.063,136.734,153.729,245.926
balanced_tree_bounded,gbn_short8,512,1024,512,32,5,0,231.847,87.611,199.632,296.713,660.231
psn_dynblock,gbn_short8,512,1024,512,32,5,0,156.419,38.499,153.533,181.270,277.375
psn_dynblock_adaptive,gbn_short8,512,1024,512,32,5,0,150.969,31.170,138.882,179.903,271.125
index_only,gbn_short8,512,1024,512,32,5,0,41.987,18.541,38.286,39.458,155.291
fifo_bounded,sr_16,512,1024,512,32,5,0,6178.942,672.726,5972.744,7242.613,8520.688
fifo_bounded,sr_16,512,1024,512,32,5,1,6519.899,774.681,6197.965,7561.009,9205.726
chained_hash_bounded,sr_16,512,1024,512,32,5,0,295.656,51.426,281.282,380.902,477.593
chained_hash_bounded,sr_16,512,1024,512,32,5,1,463.773,154.746,427.783,578.385,1193.299
balanced_tree_bounded,sr_16,512,1024,512,32,5,0,801.168,587.466,620.774,1364.998,3461.523
balanced_tree_bounded,sr_16,512,1024,512,32,5,1,796.348,104.974,780.166,904.399,1200.527
psn_dynblock,sr_16,512,1024,512,32,5,0,412.699,265.024,302.378,999.331,1200.527
psn_dynblock,sr_16,512,1024,512,32,5,1,518.675,134.896,485.016,595.771,1345.855
psn_dynblock_adaptive,sr_16,512,1024,512,32,5,0,375.305,288.986,312.926,417.430,2050.036
psn_dynblock_adaptive,sr_16,512,1024,512,32,5,1,478.289,120.931,449.855,565.103,753.015
index_only,sr_16,512,1024,512,32,5,0,75.944,25.869,72.274,74.422,208.226
index_only,sr_16,512,1024,512,32,5,1,246.056,51.739,230.886,321.130,372.308
fifo_bounded,sr_64,512,1024,512,32,5,0,24690.055,1909.483,24106.235,26651.835,30851.137
fifo_bounded,sr_64,512,1024,512,32,5,1,26782.129,3825.289,25776.346,29277.912,48190.788
chained_hash_bounded,sr_64,512,1024,512,32,5,0,1592.875,275.305,1578.889,1780.474,3205.439
chained_hash_bounded,sr_64,512,1024,512,32,5,1,2747.562,469.420,2713.391,2989.009,5109.755
balanced_tree_bounded,sr_64,512,1024,512,32,5,0,2689.348,297.463,2675.302,2914.196,3891.259
balanced_tree_bounded,sr_64,512,1024,512,32,5,1,3763.714,515.404,3648.262,4265.911,5958.290
psn_dynblock,sr_64,512,1024,512,32,5,0,1627.781,191.276,1602.524,1756.058,2925.526
psn_dynblock,sr_64,512,1024,512,32,5,1,2733.767,426.027,2644.049,3042.726,4778.859
psn_dynblock_adaptive,sr_64,512,1024,512,32,5,0,2703.736,1679.679,1907.051,4950.753,8752.940
psn_dynblock_adaptive,sr_64,512,1024,512,32,5,1,3789.394,2499.525,2814.185,6648.015,15904.919
index_only,sr_64,512,1024,512,32,5,0,308.704,175.754,265.459,380.121,1202.675
index_only,sr_64,512,1024,512,32,5,1,1319.167,144.721,1301.513,1448.406,1979.910
fifo_bounded,gbn_long64,1024,1024,512,32,5,0,51199.315,2869.817,50899.492,54558.498,61315.120
chained_hash_bounded,gbn_long64,1024,1024,512,32,5,0,1610.027,396.443,1551.933,1788.092,2532.121
balanced_tree_bounded,gbn_long64,1024,1024,512,32,5,0,1911.242,279.833,1854.701,2185.793,3102.107
psn_dynblock,gbn_long64,1024,1024,512,32,5,0,1537.611,167.321,1507.983,1712.107,2313.933
psn_dynblock_adaptive,gbn_long64,1024,1024,512,32,5,0,2163.345,1749.037,1535.525,3115.586,8142.130
index_only,gbn_long64,1024,1024,512,32,5,0,383.038,785.833,225.025,337.343,6210.076
fifo_bounded,gbn_short8,1024,1024,512,32,5,0,7101.143,1709.372,6561.678,8527.328,15716.812
chained_hash_bounded,gbn_short8,1024,1024,512,32,5,0,148.326,32.588,138.492,194.944,261.553
balanced_tree_bounded,gbn_short8,1024,1024,512,32,5,0,258.450,64.410,233.815,345.546,540.491
psn_dynblock,gbn_short8,1024,1024,512,32,5,0,163.771,105.103,144.156,183.029,451.222
psn_dynblock_adaptive,gbn_short8,1024,1024,512,32,5,0,167.747,64.841,146.892,243.778,518.222
index_only,gbn_short8,1024,1024,512,32,5,0,43.822,17.409,40.825,42.583,157.245
fifo_bounded,sr_16,1024,1024,512,32,5,0,12805.292,1019.546,12476.798,14181.483,16678.444
fifo_bounded,sr_16,1024,1024,512,32,5,1,13056.561,983.108,12783.082,14265.281,17352.738
chained_hash_bounded,sr_16,1024,1024,512,32,5,0,362.560,90.685,346.523,477.202,657.692
chained_hash_bounded,sr_16,1024,1024,512,32,5,1,514.605,66.935,484.821,625.656,671.561
balanced_tree_bounded,sr_16,1024,1024,512,32,5,0,747.550,347.701,697.735,824.702,1092.701
balanced_tree_bounded,sr_16,1024,1024,512,32,5,1,907.044,166.864,876.076,1060.081,1683.783
psn_dynblock,sr_16,1024,1024,512,32,5,0,365.262,63.006,343.398,452.395,558.657
psn_dynblock,sr_16,1024,1024,512,32,5,1,538.116,113.748,507.675,637.767,1108.719
psn_dynblock_adaptive,sr_16,1024,1024,512,32,5,0,355.993,55.906,337.928,443.800,556.117
psn_dynblock_adaptive,sr_16,1024,1024,512,32,5,1,501.966,72.358,487.555,605.146,771.767
index_only,sr_16,1024,1024,512,32,5,0,94.681,125.288,75.008,81.064,845.407
index_only,sr_16,1024,1024,512,32,5,1,227.012,52.714,202.952,290.853,530.333
fifo_bounded,sr_64,1024,1024,512,32,5,0,53382.051,7837.942,51625.745,56903.489,98588.075
fifo_bounded,sr_64,1024,1024,512,32,5,1,53154.529,2639.121,52666.293,56377.453,64380.505
chained_hash_bounded,sr_64,1024,1024,512,32,5,0,1801.149,356.927,1704.880,2157.470,3115.781
chained_hash_bounded,sr_64,1024,1024,512,32,5,1,2877.825,368.210,2790.745,3207.784,4524.924
balanced_tree_bounded,sr_64,1024,1024,512,32,5,0,3264.055,394.249,3181.609,3528.914,5211.526
balanced_tree_bounded,sr_64,1024,1024,512,32,5,1,4484.832,1217.365,4169.611,5310.755,9928.660
psn_dynblock,sr_64,1024,1024,512,32,5,0,1732.366,156.113,1737.306,1915.255,2133.444
psn_dynblock,sr_64,1024,1024,512,32,5,1,2905.941,457.483,2824.538,3217.551,5742.249
psn_dynblock_adaptive,sr_64,1024,1024,512,32,5,0,1661.276,164.493,1648.038,1811.923,2463.169
psn_dynblock_adaptive,sr_64,1024,1024,512,32,5,1,2844.558,373.579,2789.182,3178.874,4238.955
index_only,sr_64,1024,1024,512,32,5,0,287.407,60.516,284.993,360.196,509.823
index_only,sr_64,1024,1024,512,32,5,1,1402.974,418.533,1222.794,1919.943,3151.723
fifo_bounded,gbn_long64,2048,1024,512,32,5,0,95921.517,4378.702,95488.116,100109.731,118717.299
chained_hash_bounded,gbn_long64,2048,1024,512,32,5,0,1729.323,422.258,1642.568,1875.993,3886.181
