# exp1b n_cmp: retrieve 比较次数(纯取包比较; retrieve 前清零、批后累计)
# mean_cmp_per_pkt = total_cmp / (n_ops*reps*count); FIFO=O(N)~N/2; tree=O(log N); hash~O(1); dynblock/index_only=0(Φ纯算术)
# reorder 不影响 n_cmp(排序在缓存外)，故每 (method,mode,N) 只记一行(取 reorder=0)
method,mode,N,payload,total_packets,total_cmp,mean_cmp_per_pkt
fifo_bounded,gbn_long64,512,1024,5242880,1339610560,255.510
chained_hash_bounded,gbn_long64,512,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,512,1024,5242880,41979660,8.007
psn_dynblock,gbn_long64,512,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,512,1024,5242880,0,0.000
index_only,gbn_long64,512,1024,5242880,0,0.000
fifo_bounded,gbn_short8,512,1024,655360,169305520,258.340
chained_hash_bounded,gbn_short8,512,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,512,1024,655360,5251485,8.013
psn_dynblock,gbn_short8,512,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,512,1024,655360,0,0.000
index_only,gbn_short8,512,1024,655360,0,0.000
fifo_bounded,sr_16,512,1024,1310720,335985500,256.337
chained_hash_bounded,sr_16,512,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,512,1024,1310720,10520965,8.027
psn_dynblock,sr_16,512,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,512,1024,1310720,0,0.000
index_only,sr_16,512,1024,1310720,0,0.000
fifo_bounded,sr_64,512,1024,5242880,1344387570,256.422
chained_hash_bounded,sr_64,512,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,512,1024,5242880,42060015,8.022
psn_dynblock,sr_64,512,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,512,1024,5242880,0,0.000
index_only,sr_64,512,1024,5242880,0,0.000
fifo_bounded,gbn_long64,1024,1024,5242880,2678302720,510.846
chained_hash_bounded,gbn_long64,1024,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,1024,1024,5242880,47209100,9.004
psn_dynblock,gbn_long64,1024,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,1024,1024,5242880,0,0.000
index_only,gbn_long64,1024,1024,5242880,0,0.000
fifo_bounded,gbn_short8,1024,1024,655360,336358800,513.243
chained_hash_bounded,gbn_short8,1024,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,1024,1024,655360,5902160,9.006
psn_dynblock,gbn_short8,1024,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,1024,1024,655360,0,0.000
index_only,gbn_short8,1024,1024,655360,0,0.000
fifo_bounded,sr_16,1024,1024,1310720,671543920,512.347
chained_hash_bounded,sr_16,1024,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,1024,1024,1310720,11810255,9.011
psn_dynblock,sr_16,1024,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,1024,1024,1310720,0,0.000
index_only,sr_16,1024,1024,1310720,0,0.000
fifo_bounded,sr_64,1024,1024,5242880,2684346080,511.998
chained_hash_bounded,sr_64,1024,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,1024,1024,5242880,47239850,9.010
psn_dynblock,sr_64,1024,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,1024,1024,5242880,0,0.000
index_only,sr_64,1024,1024,5242880,0,0.000
fifo_bounded,gbn_long64,2048,1024,5242880,5318504960,1014.424
chained_hash_bounded,gbn_long64,2048,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,2048,1024,5242880,52442115,10.003
psn_dynblock,gbn_long64,2048,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,2048,1024,5242880,0,0.000
index_only,gbn_long64,2048,1024,5242880,0,0.000
fifo_bounded,gbn_short8,2048,1024,655360,666968520,1017.713
chained_hash_bounded,gbn_short8,2048,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,2048,1024,655360,6555695,10.003
psn_dynblock,gbn_short8,2048,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,2048,1024,655360,0,0.000
index_only,gbn_short8,2048,1024,655360,0,0.000
fifo_bounded,sr_16,2048,1024,1310720,1344552700,1025.812
chained_hash_bounded,sr_16,2048,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,2048,1024,1310720,13116070,10.007
psn_dynblock,sr_16,2048,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,2048,1024,1310720,0,0.000
index_only,sr_16,2048,1024,1310720,0,0.000
fifo_bounded,sr_64,2048,1024,5242880,5374456440,1025.096
chained_hash_bounded,sr_64,2048,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,2048,1024,5242880,52459775,10.006
psn_dynblock,sr_64,2048,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,2048,1024,5242880,0,0.000
index_only,sr_64,2048,1024,5242880,0,0.000
fifo_bounded,gbn_long64,4096,1024,5242880,10714015360,2043.536
chained_hash_bounded,gbn_long64,4096,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,4096,1024,5242880,57678835,11.001
psn_dynblock,gbn_long64,4096,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,4096,1024,5242880,0,0.000
index_only,gbn_long64,4096,1024,5242880,0,0.000
fifo_bounded,gbn_short8,4096,1024,655360,1345472240,2053.028
chained_hash_bounded,gbn_short8,4096,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,4096,1024,655360,7211605,11.004
psn_dynblock,gbn_short8,4096,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,4096,1024,655360,0,0.000
index_only,gbn_short8,4096,1024,655360,0,0.000
fifo_bounded,sr_16,4096,1024,1310720,2684270910,2047.936
chained_hash_bounded,sr_16,4096,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,4096,1024,1310720,14418805,11.001
psn_dynblock,sr_16,4096,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,4096,1024,1310720,0,0.000
index_only,sr_16,4096,1024,1310720,0,0.000
fifo_bounded,sr_64,4096,1024,5242880,10735514225,2047.637
chained_hash_bounded,sr_64,4096,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,4096,1024,5242880,57685310,11.003
psn_dynblock,sr_64,4096,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,4096,1024,5242880,0,0.000
index_only,sr_64,4096,1024,5242880,0,0.000
fifo_bounded,gbn_long64,8192,1024,5242880,21438059200,4088.985
chained_hash_bounded,gbn_long64,8192,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,8192,1024,5242880,62916870,12.000
psn_dynblock,gbn_long64,8192,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,8192,1024,5242880,0,0.000
index_only,gbn_long64,8192,1024,5242880,0,0.000
fifo_bounded,gbn_short8,8192,1024,655360,2691418040,4106.778
chained_hash_bounded,gbn_short8,8192,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,8192,1024,655360,7863735,11.999
psn_dynblock,gbn_short8,8192,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,8192,1024,655360,0,0.000
index_only,gbn_short8,8192,1024,655360,0,0.000
fifo_bounded,sr_16,8192,1024,1310720,5360030390,4089.379
chained_hash_bounded,sr_16,8192,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,8192,1024,1310720,15732595,12.003
psn_dynblock,sr_16,8192,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,8192,1024,1310720,0,0.000
index_only,sr_16,8192,1024,1310720,0,0.000
fifo_bounded,sr_64,8192,1024,5242880,21477293770,4096.469
chained_hash_bounded,sr_64,8192,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,8192,1024,5242880,62918705,12.001
psn_dynblock,sr_64,8192,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,8192,1024,5242880,0,0.000
index_only,sr_64,8192,1024,5242880,0,0.000
fifo_bounded,gbn_long64,10240,1024,5242880,26861420160,5123.409
chained_hash_bounded,gbn_long64,10240,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,10240,1024,5242880,65025430,12.403
psn_dynblock,gbn_long64,10240,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,10240,1024,5242880,0,0.000
index_only,gbn_long64,10240,1024,5242880,0,0.000
fifo_bounded,gbn_short8,10240,1024,655360,3360622040,5127.902
chained_hash_bounded,gbn_short8,10240,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,10240,1024,655360,8127060,12.401
psn_dynblock,gbn_short8,10240,1024,655360,0,0.000
