epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,3355.4432,0,0,0,0
1,0,3355.4432,1,218,1,65536
2,0,3355.4432,1,194,1,65536
3,0,3355.4432,1,241,1,65536
4,1,3355.4432,1,219,1,65536
5,1,3355.4432,1,187,1,65536
6,1,3355.4432,1,221,1,65536
7,1,3355.4432,1,204,1,65536
8,1,3355.4432,1,211,1,65536
9,1,3355.4432,1,170,1,65536
10,1,3355.4432,1,225,1,65536
11,1,3355.4432,1,196,1,65536
12,1,3355.4432,1,203,1,65536
13,1,3355.4432,1,197,1,65536
14,1,3355.4432,1,201,1,65536
15,1,3355.4432,1,205,1,65536
16,2,3355.4432,1,215,1,65536
17,2,3355.4432,1,214,1,65536
18,3,3355.4432,1,188,1,65536
19,3,3355.4432,1,210,1,65536
20,3,3355.4432,1,198,1,65536
21,3,3355.4432,1,201,1,65536
22,3,3355.4432,1,207,1,65536
23,3,3355.4432,1,218,1,65536
24,3,3355.4432,1,193,1,65536
25,3,3355.4432,1,247,1,65536
26,3,3355.4432,1,199,1,65536
27,3,3355.4432,1,234,1,65536
28,3,3355.4432,1,204,1,65536
29,3,3355.4432,1,219,1,65536
