epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,11.488,8.106,4583.262
1,0,11.177,7.520,4299.243
2,0,11.787,9.083,4456.586
3,0,11.128,7.228,4297.485
4,1,11.323,8.986,4365.364
5,1,11.195,9.376,4472.409
6,1,11.220,8.009,7774.267
7,1,11.391,8.204,10067.901
8,1,13.936,43.853,5492.257
9,1,11.384,8.302,5922.972
10,1,11.421,7.814,10562.392
11,1,16.280,67.977,8174.705
12,1,61.232,789.255,4666.963
13,1,13.014,10.548,4737.187
14,1,14.907,55.671,8203.518
15,1,12.825,10.353,8929.386
16,2,11.458,8.009,4398.669
17,2,11.305,7.520,4515.187
18,3,144.268,21.682,6410.139
19,3,12.306,8.009,9334.707
20,3,25.076,96.105,23416.856
21,3,14.034,9.962,5445.279
22,3,14.003,51.568,4678.683
23,3,12.856,29.105,5736.915
24,3,16.982,65.535,4843.547
25,3,12.178,7.911,5696.481
26,3,12.581,9.376,6319.016
27,3,12.453,8.693,4842.570
28,3,15.798,60.066,5048.356
29,3,11.781,7.520,12888.745
