# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,8101,0,0,0,6067.806
1,62508,0,0,0,7761.392
2,9501,0,0,0,16625.179
3,411054,0,0,0,8470.179
4,11101,0,0,0,5933.803
5,40705,27103,0,0,5986.154
6,11301,0,0,0,5369.959
7,8301,0,0,0,4629.430
8,10401,0,0,0,10272.276
9,9401,0,0,0,4468.666
10,7901,0,0,0,6420.099
11,7801,0,0,0,5112.600
12,8201,0,0,0,8038.578
13,9701,0,0,0,5301.102
14,8301,0,0,0,4289.540
15,8101,0,0,0,4750.540
16,8200,0,0,2048,8101.672
17,9501,0,0,0,4478.237
18,10101,0,0,0,8412.359
19,9001,0,0,0,5508.161
20,9000,0,0,0,5059.175
21,8701,0,0,0,4421.296
22,9001,0,0,0,4747.316
23,8800,0,0,0,5927.748
24,7800,0,0,0,4966.096
25,681591,654087,0,0,4446.983
26,8901,0,0,0,4507.636
27,8601,0,0,0,5682.598
28,7601,0,0,0,4938.748
29,7401,0,0,0,4677.385
