epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,3355.4432,210,219,0,224256
1,0,3355.4432,187,195,0,199680
2,0,3355.4432,224,239,0,244736
3,0,3355.4432,212,219,0,224256
4,0,3355.4432,186,188,0,192512
5,0,3355.4432,213,222,0,227328
6,1,3355.4432,193,197,0,220160
7,1,3355.4432,211,217,0,240640
8,1,3355.4432,152,159,0,184320
9,1,3355.4432,214,220,0,240640
10,1,3355.4432,195,208,0,222208
11,1,3355.4432,197,206,0,244736
12,1,3355.4432,182,188,0,201728
13,1,3355.4432,197,201,0,236544
14,1,3355.4432,192,201,0,227328
15,1,3355.4432,216,225,0,258048
16,1,3355.4432,199,207,0,227328
17,1,3355.4432,191,198,0,245760
18,1,3355.4432,200,205,0,219136
19,1,3355.4432,190,198,0,215040
20,1,3355.4432,201,207,0,227328
21,1,3355.4432,191,198,0,227328
22,1,3355.4432,228,233,0,253952
23,1,3355.4432,172,179,0,198656
24,1,3355.4432,238,249,0,270336
25,1,3355.4432,193,199,0,212992
26,1,3355.4432,221,232,0,259072
27,1,3355.4432,202,206,0,229376
28,1,3355.4432,203,215,0,235520
29,1,3355.4432,200,213,0,230400
30,1,3355.4432,192,200,0,235520
31,1,3355.4432,213,225,0,251904
32,1,3355.4432,205,213,0,242688
33,1,3355.4432,199,206,0,220160
34,1,3355.4432,195,199,0,219136
35,1,3355.4432,176,189,0,208896
36,1,3355.4432,195,204,0,224256
37,1,3355.4432,172,176,0,186368
38,1,3355.4432,202,210,0,230400
39,1,3355.4432,190,198,0,230400
40,1,3355.4432,205,215,0,229376
41,1,3355.4432,202,211,0,234496
42,1,3355.4432,203,213,0,236544
43,1,3355.4432,211,220,0,243712
44,1,3355.4432,182,187,0,212992
45,1,3355.4432,196,203,0,229376
