# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,3700,0,0,0,3763.576
1,3800,0,0,0,4207.395
2,4200,0,0,0,4099.468
3,4600,0,0,0,4060.106
4,38106,29104,0,0,3797.956
5,4500,0,0,0,4436.825
6,20303,0,0,0,5224.448
7,5372638,40806,5305128,311,5890.080
8,4500,0,0,0,4125.449
9,4400,0,0,0,4654.633
10,4000,0,0,0,4099.956
11,4500,0,0,0,3875.117
12,4600,0,0,0,4080.129
13,4400,0,0,0,4342.377
14,4100,0,0,0,4057.860
15,5100,0,0,0,4125.058
16,4300,0,0,0,4289.048
17,4800,0,0,0,3947.003
18,4400,0,0,0,3919.069
19,4500,0,0,0,4146.936
20,4600,0,0,0,4164.810
21,4200,0,0,0,4066.162
22,4700,0,0,0,4083.059
23,4700,0,0,0,5356.598
24,4500,0,0,0,3928.152
25,4600,0,0,0,3953.547
26,4200,0,0,0,3979.821
27,4400,0,0,0,4194.893
28,4300,0,0,0,4086.575
29,4700,0,0,0,4103.375
30,4500,0,0,0,4008.536
31,5000,0,0,0,4655.121
32,4600,0,0,0,4234.840
33,4200,0,0,0,4140.783
34,4200,0,0,0,4068.799
35,4400,0,0,0,4091.752
36,4300,0,0,0,3817.002
37,4400,0,0,0,4053.562
38,4800,0,0,0,5149.632
39,4200,0,0,0,4095.756
40,4400,0,0,0,4116.854
41,4400,0,0,0,4053.660
42,4100,0,0,0,3925.612
43,4100,0,0,0,4139.025
44,4500,0,0,0,4111.482
45,4200,0,0,0,4123.495
