epoch,phase,util_adaptive,util_static
0,0,0.2473,0.2473
1,0,0.2473,0.2473
2,0,0.2473,0.2473
3,0,0.2473,0.2473
4,0,0.9588,0.2473
5,0,0.9588,0.2473
6,1,0.9357,0.2705
7,1,0.2699,0.2699
8,1,0.2736,0.2736
9,1,0.2700,0.2700
10,1,0.2683,0.2683
11,1,0.2707,0.2707
12,1,0.2692,0.2692
13,1,0.2715,0.2715
14,1,0.2672,0.2672
15,1,0.2709,0.2709
16,1,0.2693,0.2693
17,1,0.2686,0.2686
18,1,0.2691,0.2691
19,1,0.2676,0.2676
20,1,0.2687,0.2687
21,1,0.2698,0.2698
22,1,0.2700,0.2700
23,1,0.2689,0.2689
24,1,0.2686,0.2686
25,1,0.2699,0.2699
26,1,0.2691,0.2691
27,1,0.2692,0.2692
28,1,0.2722,0.2722
29,1,0.2679,0.2679
30,1,0.2725,0.2725
31,1,0.2693,0.2693
32,1,0.2710,0.2710
33,1,0.2697,0.2697
34,1,0.2700,0.2700
35,1,0.2697,0.2697
36,1,0.2702,0.2702
37,1,0.2730,0.2730
38,1,0.2697,0.2697
39,1,0.2709,0.2709
40,1,0.2694,0.2694
41,1,0.2686,0.2686
42,1,0.2690,0.2690
43,1,0.2674,0.2674
44,1,0.2700,0.2700
45,1,0.2694,0.2694
