epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,11.293,7.813,11176.973
1,0,15.078,45.709,9389.431
2,0,123.100,8.204,8821.582
3,0,14.870,63.094,4441.313
4,1,12.154,7.911,4789.113
5,1,12.398,23.245,6248.682
6,1,11.934,9.278,5009.552
7,1,14.821,57.332,11599.588
8,1,11.549,7.325,8325.032
9,1,12.367,8.009,4698.867
10,1,12.386,9.767,4648.078
11,1,12.343,8.106,4667.612
12,1,12.166,8.693,4457.721
13,1,12.007,7.716,11959.596
14,1,11.562,8.009,4435.257
15,1,11.464,7.228,4357.708
16,2,11.635,7.814,18118.325
17,2,11.623,7.423,4443.852
18,3,11.690,7.911,4806.888
19,3,11.574,7.618,4354.289
20,3,11.562,7.423,4487.120
21,3,11.513,7.423,4936.398
22,3,11.195,7.325,7090.688
23,3,12.319,8.009,5230.187
24,3,16.305,65.731,5072.549
25,3,12.093,7.716,5011.017
26,3,11.977,10.353,5757.503
27,3,26.224,39.165,4559.590
28,3,14.052,9.767,5465.570
29,3,11.543,8.888,4812.749
