# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,58608,0,0,0,5680.465
1,4500,0,0,0,5571.271
2,4700,0,0,0,4993.360
3,5100,0,0,0,5202.861
4,4900,0,0,0,4898.230
5,36104,27003,0,0,5459.244
6,4900,0,0,0,5003.615
7,4800,0,0,0,4666.167
8,4700,0,0,0,4607.467
9,5000,0,0,0,5217.023
10,4700,0,0,0,4959.762
11,5000,0,0,0,4956.636
12,4500,0,0,0,7750.476
13,5200,0,0,0,5323.874
14,4900,0,0,0,4874.301
15,69609,0,0,0,6679.821
16,5000,0,0,2048,5171.021
17,4600,0,0,0,5070.226
18,4100,0,0,0,5129.804
19,4500,0,0,0,5954.234
20,4900,0,0,0,5384.331
21,5700,0,0,0,4555.605
22,5200,0,0,0,4606.002
23,5100,0,0,0,4776.338
24,5000,0,0,0,4768.231
25,37305,28003,0,0,5212.433
26,4900,0,0,0,4755.534
27,4800,0,0,0,6453.716
28,5100,0,0,0,5601.256
29,5400,0,0,0,4938.762
