epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,3.268,54.445,4552.700
1,0,3.659,8.015,6175.802
2,0,6.928,44.182,7518.172
3,0,17.252,21.700,10127.353
4,1,3.598,47.212,5408.189
5,1,3.659,222.767,5904.356
6,1,4.692,8.211,7347.309
7,1,3.727,10.166,5607.594
8,1,6.916,19.159,6030.158
9,1,14.118,10.948,5332.825
10,1,3.824,8.699,4881.230
11,1,3.464,7.527,6107.769
12,1,4.154,57.378,5538.193
13,1,4.319,12.023,5544.058
14,1,5.376,71.258,6985.153
15,1,3.727,61.874,11378.329
16,2,14.839,49.460,9735.482
17,2,4.173,9.090,7157.482
18,3,3.977,8.797,7527.263
19,3,3.672,162.359,4952.684
20,3,3.885,8.015,5278.086
21,3,3.549,62.070,5745.223
22,3,3.568,7.820,5231.265
23,3,4.221,7.722,5518.350
24,3,3.910,8.602,5326.667
25,3,3.995,75.363,5652.949
26,3,13.123,32.941,5794.683
27,3,3.721,17.790,8835.421
28,3,3.806,8.113,5800.450
29,3,3.598,7.820,4923.457
