# exp1a store time cost (batch-amortized). N=4096 timed_ops=500000 reps=5 warm=500000
# B: main=2048 (n_batches=244), xval=1024 (n_batches=488)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), psn_dynblock_fixed=S=4096 固定
# alloc_mode: pooled=一次性预分配复用(主结果) perstore=逐 store malloc/free(第 5 条正交)
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查); block_S=0 表示非 dynblock
# n_malloc/n_free: pooled 恒 0; perstore=计时期逐 store malloc/free 实计数(约 reps*timed_ops)
method,alloc_mode,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_free,n_resize
# --- B=2048 (main): floor median=0.276 ns/op, samples=1220 ---
fifo_bounded,pooled,256,4096,2048,244,5,9.505,0.415,9.439,9.725,11.066,0.276,0,0,0,0
chained_hash_bounded,pooled,256,4096,2048,244,5,7.402,0.293,7.366,7.548,8.143,0.276,0,0,0,0
balanced_tree_bounded,pooled,256,4096,2048,244,5,46.503,1.902,46.208,46.778,55.226,0.276,0,0,0,0
psn_dynblock,pooled,256,4096,2048,244,5,8.095,0.476,8.025,8.222,10.889,0.276,256,0,0,0
psn_dynblock_fixed,pooled,256,4096,2048,244,5,11.057,0.253,10.956,11.289,12.021,0.276,4096,0,0,0
index_only,pooled,256,4096,2048,244,5,1.098,0.030,1.096,1.098,1.099,0.276,0,0,0,0
fifo_bounded,pooled,512,4096,2048,244,5,12.372,1.062,12.191,12.607,16.370,0.276,0,0,0,0
chained_hash_bounded,pooled,512,4096,2048,244,5,11.947,0.237,11.910,12.124,12.987,0.276,0,0,0,0
balanced_tree_bounded,pooled,512,4096,2048,244,5,49.515,1.558,49.438,49.991,53.389,0.276,0,0,0,0
psn_dynblock,pooled,512,4096,2048,244,5,11.660,0.538,11.572,11.735,13.817,0.276,512,0,0,0
psn_dynblock_fixed,pooled,512,4096,2048,244,5,16.293,0.663,16.179,16.773,18.756,0.276,4096,0,0,0
index_only,pooled,512,4096,2048,244,5,1.098,0.037,1.096,1.098,1.099,0.276,0,0,0,0
fifo_bounded,pooled,1024,4096,2048,244,5,23.344,0.830,23.205,23.676,26.527,0.276,0,0,0,0
chained_hash_bounded,pooled,1024,4096,2048,244,5,23.120,1.131,22.837,23.514,29.860,0.276,0,0,0,0
balanced_tree_bounded,pooled,1024,4096,2048,244,5,57.389,11.437,53.607,68.162,95.874,0.276,0,0,0,0
psn_dynblock,pooled,1024,4096,2048,244,5,22.812,0.271,22.787,23.045,23.973,0.276,1024,0,0,0
psn_dynblock_fixed,pooled,1024,4096,2048,244,5,28.806,2.272,27.550,32.664,34.214,0.276,4096,0,0,0
index_only,pooled,1024,4096,2048,244,5,1.098,0.027,1.096,1.098,1.099,0.276,0,0,0,0
fifo_bounded,pooled,2048,4096,2048,244,5,43.020,0.501,42.903,43.525,45.258,0.276,0,0,0,0
chained_hash_bounded,pooled,2048,4096,2048,244,5,42.462,0.500,42.314,43.043,44.505,0.276,0,0,0,0
balanced_tree_bounded,pooled,2048,4096,2048,244,5,68.756,0.786,68.592,69.399,71.509,0.276,0,0,0,0
psn_dynblock,pooled,2048,4096,2048,244,5,42.341,2.024,42.109,42.687,44.252,0.276,2048,0,0,0
psn_dynblock_fixed,pooled,2048,4096,2048,244,5,49.713,2.004,48.713,52.501,55.624,0.276,4096,0,0,0
