# exp1a store time cost (batch-amortized). N=4096 timed_ops=500000 reps=5 warm=500000
# B: main=2048 (n_batches=244), xval=1024 (n_batches=488)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), psn_dynblock_fixed=S=4096 固定
# alloc_mode: pooled=一次性预分配复用(主结果) perstore=逐 store malloc/free(第 5 条正交)
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查); block_S=0 表示非 dynblock
# n_malloc/n_free: pooled 恒 0; perstore=计时期逐 store malloc/free 实计数(约 reps*timed_ops)
method,alloc_mode,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_free,n_resize
# --- B=2048 (main): floor median=0.276 ns/op, samples=1220 ---
fifo_perstore,perstore,256,4096,2048,244,5,11.547,0.264,11.468,11.801,12.724,0.276,0,2498560,2498560,0
chained_hash_perstore,perstore,256,4096,2048,244,5,12.382,0.359,12.360,12.583,13.250,0.276,0,2498560,2498560,0
balanced_tree_perstore,perstore,256,4096,2048,244,5,52.436,2.047,52.301,53.165,63.644,0.276,0,2498560,2498560,0
psn_dynblock_perstore,perstore,256,4096,2048,244,5,13.050,0.126,13.022,13.215,13.565,0.276,256,2498560,2498560,0
fifo_perstore,perstore,512,4096,2048,244,5,15.578,0.690,15.472,15.724,20.200,0.276,0,2498560,2498560,0
chained_hash_perstore,perstore,512,4096,2048,244,5,16.108,0.757,16.038,16.346,19.513,0.276,0,2498560,2498560,0
balanced_tree_perstore,perstore,512,4096,2048,244,5,55.764,2.163,55.618,56.231,68.260,0.276,0,2498560,2498560,0
psn_dynblock_perstore,perstore,512,4096,2048,244,5,17.697,0.577,17.625,17.871,19.155,0.276,512,2498560,2498560,0
fifo_perstore,perstore,1024,4096,2048,244,5,27.630,0.271,27.565,27.877,28.807,0.276,0,2498560,2498560,0
chained_hash_perstore,perstore,1024,4096,2048,244,5,28.756,0.439,28.726,29.188,30.111,0.276,0,2498560,2498560,0
balanced_tree_perstore,perstore,1024,4096,2048,244,5,65.530,1.664,66.270,67.349,68.304,0.276,0,2498560,2498560,0
psn_dynblock_perstore,perstore,1024,4096,2048,244,5,27.648,0.324,27.579,28.064,28.849,0.276,1024,2498560,2498560,0
fifo_perstore,perstore,2048,4096,2048,244,5,47.048,0.844,46.827,47.701,49.229,0.276,0,2498560,2498560,0
chained_hash_perstore,perstore,2048,4096,2048,244,5,48.675,0.604,48.514,49.524,50.663,0.276,0,2498560,2498560,0
balanced_tree_perstore,perstore,2048,4096,2048,244,5,81.803,2.714,82.587,83.789,85.103,0.276,0,2498560,2498560,0
psn_dynblock_perstore,perstore,2048,4096,2048,244,5,49.007,0.577,48.897,49.653,50.834,0.276,2048,2498560,2498560,0
fifo_perstore,perstore,4096,4096,2048,244,5,94.180,13.854,90.567,99.342,184.034,0.276,0,2498560,2498560,0
chained_hash_perstore,perstore,4096,4096,2048,244,5,100.734,16.892,95.655,107.672,190.278,0.276,0,2498560,2498560,0
balanced_tree_perstore,perstore,4096,4096,2048,244,5,132.452,16.585,128.436,139.274,228.369,0.276,0,2498560,2498560,0
psn_dynblock_perstore,perstore,4096,4096,2048,244,5,96.626,14.563,92.980,101.210,186.645,0.276,4096,2498560,2498560,0
# --- B=1024 (xval): floor median=0.189 ns/op, samples=2440 ---
fifo_perstore,perstore,256,4096,1024,488,5,11.416,0.141,11.408,11.521,11.966,0.189,0,2498560,2498560,0
chained_hash_perstore,perstore,256,4096,1024,488,5,12.334,0.937,12.207,12.538,14.194,0.189,0,2498560,2498560,0
balanced_tree_perstore,perstore,256,4096,1024,488,5,52.088,1.108,52.033,52.751,54.501,0.189,0,2498560,2498560,0
psn_dynblock_perstore,perstore,256,4096,1024,488,5,13.117,0.529,13.040,13.263,15.189,0.189,256,2498560,2498560,0
fifo_perstore,perstore,512,4096,1024,488,5,15.110,0.327,15.057,15.241,16.710,0.189,0,2498560,2498560,0
chained_hash_perstore,perstore,512,4096,1024,488,5,16.094,0.294,16.042,16.323,17.744,0.189,0,2498560,2498560,0
balanced_tree_perstore,perstore,512,4096,1024,488,5,55.103,1.319,54.940,55.997,58.290,0.189,0,2498560,2498560,0
psn_dynblock_perstore,perstore,512,4096,1024,488,5,17.371,0.462,17.258,17.726,18.915,0.189,512,2498560,2498560,0
fifo_perstore,perstore,1024,4096,1024,488,5,27.817,0.448,27.731,28.237,29.544,0.189,0,2498560,2498560,0
chained_hash_perstore,perstore,1024,4096,1024,488,5,28.862,0.555,28.694,29.614,30.730,0.189,0,2498560,2498560,0
balanced_tree_perstore,perstore,1024,4096,1024,488,5,66.591,2.259,66.278,70.032,71.265,0.189,0,2498560,2498560,0
psn_dynblock_perstore,perstore,1024,4096,1024,488,5,27.560,0.769,27.409,27.952,29.508,0.189,1024,2498560,2498560,0
fifo_perstore,perstore,2048,4096,1024,488,5,47.106,0.797,46.861,47.780,49.660,0.189,0,2498560,2498560,0
chained_hash_perstore,perstore,2048,4096,1024,488,5,48.989,4.204,48.424,49.782,53.256,0.189,0,2498560,2498560,0
balanced_tree_perstore,perstore,2048,4096,1024,488,5,81.600,4.177,83.409,84.983,89.221,0.189,0,2498560,2498560,0
psn_dynblock_perstore,perstore,2048,4096,1024,488,5,48.917,0.682,48.650,49.567,51.495,0.189,2048,2498560,2498560,0
