# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付(fifo/hash qsort、tree 中序、dynblock 扫槽); GBN retrieve_range 天然升序
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.295 ns/op; B=32(xval) median=0.375 ns/op
method,mode,N,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
fifo_bounded,gbn_long64,128,1024,512,32,5,4462.226,67.723,4462.462,4519.980,4670.433
chained_hash_bounded,gbn_long64,128,1024,512,32,5,1017.792,9.018,1016.340,1028.205,1050.291
balanced_tree_bounded,gbn_long64,128,1024,512,32,5,1072.211,6.281,1070.541,1076.478,1106.417
psn_dynblock,gbn_long64,128,1024,512,32,5,993.331,3.984,992.603,996.537,1011.165
psn_dynblock_adaptive,gbn_long64,128,1024,512,32,5,996.458,5.332,994.949,1003.702,1012.612
index_only,gbn_long64,128,1024,512,32,5,181.539,1.545,181.099,182.324,190.531
fifo_bounded,gbn_short8,128,1024,512,32,5,561.370,12.268,562.374,576.473,583.858
chained_hash_bounded,gbn_short8,128,1024,512,32,5,71.353,0.670,71.252,72.024,74.239
balanced_tree_bounded,gbn_short8,128,1024,512,32,5,116.988,0.937,116.918,118.065,120.256
psn_dynblock,gbn_short8,128,1024,512,32,5,71.517,0.624,71.431,71.884,74.555
psn_dynblock_adaptive,gbn_short8,128,1024,512,32,5,71.515,0.514,71.433,71.881,74.043
index_only,gbn_short8,128,1024,512,32,5,23.361,0.356,23.324,23.357,24.683
fifo_bounded,sr_16,128,1024,512,32,5,1453.766,9.390,1452.705,1463.138,1488.676
chained_hash_bounded,sr_16,128,1024,512,32,5,426.306,2.383,426.010,428.819,433.018
balanced_tree_bounded,sr_16,128,1024,512,32,5,1195.577,6.589,1194.613,1204.347,1216.717
psn_dynblock,sr_16,128,1024,512,32,5,910.374,8.785,908.770,919.226,955.565
psn_dynblock_adaptive,sr_16,128,1024,512,32,5,908.527,8.154,906.994,916.527,942.477
index_only,sr_16,128,1024,512,32,5,311.799,2.465,311.373,314.031,324.520
fifo_bounded,sr_64,128,1024,512,32,5,6297.364,18.132,6296.147,6318.658,6359.479
chained_hash_bounded,sr_64,128,1024,512,32,5,2578.307,20.766,2574.352,2596.767,2660.952
balanced_tree_bounded,sr_64,128,1024,512,32,5,1749.641,15.148,1745.807,1768.539,1802.634
psn_dynblock,sr_64,128,1024,512,32,5,1393.138,13.473,1391.544,1401.092,1465.138
psn_dynblock_adaptive,sr_64,128,1024,512,32,5,1391.671,13.924,1388.744,1402.172,1475.471
index_only,sr_64,128,1024,512,32,5,1738.864,7.590,1737.800,1747.525,1770.863
fifo_bounded,gbn_long64,256,1024,512,32,5,8420.501,150.894,8397.360,8632.871,8799.810
chained_hash_bounded,gbn_long64,256,1024,512,32,5,1009.802,5.668,1008.636,1014.634,1039.316
balanced_tree_bounded,gbn_long64,256,1024,512,32,5,1102.928,3.485,1101.961,1106.692,1116.903
psn_dynblock,gbn_long64,256,1024,512,32,5,995.612,9.845,992.320,1005.372,1041.121
psn_dynblock_adaptive,gbn_long64,256,1024,512,32,5,994.535,8.956,991.788,1003.194,1041.257
index_only,gbn_long64,256,1024,512,32,5,181.577,0.930,181.177,183.679,184.847
fifo_bounded,gbn_short8,256,1024,512,32,5,1054.194,21.063,1050.761,1084.425,1113.497
chained_hash_bounded,gbn_short8,256,1024,512,32,5,74.880,0.559,74.779,75.381,77.633
balanced_tree_bounded,gbn_short8,256,1024,512,32,5,138.014,2.369,137.493,140.134,148.789
psn_dynblock,gbn_short8,256,1024,512,32,5,74.550,0.678,74.441,75.047,77.894
psn_dynblock_adaptive,gbn_short8,256,1024,512,32,5,74.574,0.657,74.439,74.981,77.893
index_only,gbn_short8,256,1024,512,32,5,23.343,0.171,23.325,23.357,24.512
fifo_bounded,sr_16,256,1024,512,32,5,2391.557,26.373,2387.102,2411.613,2504.534
chained_hash_bounded,sr_16,256,1024,512,32,5,467.266,2.933,466.638,470.246,476.968
balanced_tree_bounded,sr_16,256,1024,512,32,5,1840.470,24.709,1840.209,1871.782,1919.840
psn_dynblock,sr_16,256,1024,512,32,5,1404.866,10.031,1403.295,1419.752,1431.396
psn_dynblock_adaptive,sr_16,256,1024,512,32,5,1409.446,16.138,1407.478,1423.559,1473.278
index_only,sr_16,256,1024,512,32,5,313.946,3.757,313.338,316.014,325.103
fifo_bounded,sr_64,256,1024,512,32,5,10044.402,48.403,10038.594,10091.380,10236.942
chained_hash_bounded,sr_64,256,1024,512,32,5,2621.566,16.060,2617.877,2634.550,2705.238
balanced_tree_bounded,sr_64,256,1024,512,32,5,3224.117,21.349,3223.521,3249.930,3267.792
psn_dynblock,sr_64,256,1024,512,32,5,2440.447,19.386,2433.768,2465.436,2515.041
psn_dynblock_adaptive,sr_64,256,1024,512,32,5,2439.298,19.375,2433.345,2458.962,2532.205
index_only,sr_64,256,1024,512,32,5,1736.808,7.020,1736.727,1743.279,1762.313
fifo_bounded,gbn_long64,512,1024,512,32,5,16524.805,315.479,16508.665,16923.186,17182.561
chained_hash_bounded,gbn_long64,512,1024,512,32,5,1012.398,7.236,1010.102,1017.105,1044.934
balanced_tree_bounded,gbn_long64,512,1024,512,32,5,1143.062,3.120,1142.276,1146.367,1153.251
psn_dynblock,gbn_long64,512,1024,512,32,5,1001.306,19.457,995.663,1009.183,1089.423
psn_dynblock_adaptive,gbn_long64,512,1024,512,32,5,1000.965,20.168,994.916,1012.534,1108.449
index_only,gbn_long64,512,1024,512,32,5,182.290,1.244,181.831,183.925,185.449
fifo_bounded,gbn_short8,512,1024,512,32,5,2119.580,56.318,2115.099,2196.398,2260.561
chained_hash_bounded,gbn_short8,512,1024,512,32,5,77.345,0.554,77.301,77.812,79.772
balanced_tree_bounded,gbn_short8,512,1024,512,32,5,148.768,1.147,148.717,150.005,152.280
psn_dynblock,gbn_short8,512,1024,512,32,5,76.475,0.550,76.386,77.057,79.372
psn_dynblock_adaptive,gbn_short8,512,1024,512,32,5,76.613,0.605,76.520,77.144,79.083
index_only,gbn_short8,512,1024,512,32,5,23.342,0.146,23.327,23.357,24.527
fifo_bounded,sr_16,512,1024,512,32,5,4401.894,35.778,4397.282,4429.574,4561.444
chained_hash_bounded,sr_16,512,1024,512,32,5,482.882,6.446,481.142,490.579,511.856
balanced_tree_bounded,sr_16,512,1024,512,32,5,2469.849,12.794,2469.043,2485.606,2501.674
psn_dynblock,sr_16,512,1024,512,32,5,1958.045,24.429,1953.067,1971.838,2115.100
psn_dynblock_adaptive,sr_16,512,1024,512,32,5,1960.727,27.323,1954.413,1980.919,2108.133
index_only,sr_16,512,1024,512,32,5,313.310,2.086,312.812,315.550,322.304
fifo_bounded,sr_64,512,1024,512,32,5,18068.163,55.553,18059.597,18145.173,18191.025
chained_hash_bounded,sr_64,512,1024,512,32,5,2655.929,16.565,2651.408,2670.200,2723.927
balanced_tree_bounded,sr_64,512,1024,512,32,5,5387.997,27.775,5388.454,5423.640,5458.183
psn_dynblock,sr_64,512,1024,512,32,5,4112.407,25.388,4109.122,4134.569,4229.563
psn_dynblock_adaptive,sr_64,512,1024,512,32,5,4110.914,41.883,4100.646,4150.976,4302.938
index_only,sr_64,512,1024,512,32,5,1741.746,9.963,1740.721,1751.426,1784.171
fifo_bounded,gbn_long64,1024,1024,512,32,5,35169.775,843.573,35186.332,36170.627,37232.516
chained_hash_bounded,gbn_long64,1024,1024,512,32,5,1015.010,8.155,1013.020,1020.450,1055.128
balanced_tree_bounded,gbn_long64,1024,1024,512,32,5,1190.818,7.725,1188.462,1198.955,1222.289
psn_dynblock,gbn_long64,1024,1024,512,32,5,1009.020,36.307,996.440,1035.668,1242.188
psn_dynblock_adaptive,gbn_long64,1024,1024,512,32,5,1010.044,37.102,996.889,1040.240,1180.537
index_only,gbn_long64,1024,1024,512,32,5,181.554,1.247,181.159,182.557,186.971
fifo_bounded,gbn_short8,1024,1024,512,32,5,4419.570,124.896,4403.020,4570.305,4796.202
chained_hash_bounded,gbn_short8,1024,1024,512,32,5,78.865,1.203,78.648,79.034,86.221
balanced_tree_bounded,gbn_short8,1024,1024,512,32,5,162.686,2.556,162.106,164.613,175.702
psn_dynblock,gbn_short8,1024,1024,512,32,5,77.944,0.900,77.704,78.683,83.116
psn_dynblock_adaptive,gbn_short8,1024,1024,512,32,5,77.938,0.821,77.786,78.110,81.927
index_only,gbn_short8,1024,1024,512,32,5,23.363,0.305,23.329,23.363,24.866
fifo_bounded,sr_16,1024,1024,512,32,5,8542.429,85.183,8531.225,8626.094,8943.565
chained_hash_bounded,sr_16,1024,1024,512,32,5,490.673,8.910,488.339,495.896,538.167
balanced_tree_bounded,sr_16,1024,1024,512,32,5,3583.437,17.526,3581.220,3600.956,3631.230
psn_dynblock,sr_16,1024,1024,512,32,5,2937.329,32.959,2931.131,2971.243,3088.115
psn_dynblock_adaptive,sr_16,1024,1024,512,32,5,2948.245,53.759,2933.193,2998.572,3184.189
index_only,sr_16,1024,1024,512,32,5,312.891,2.101,312.657,314.904,322.960
fifo_bounded,sr_64,1024,1024,512,32,5,34628.140,1007.628,34489.614,34772.377,37861.892
chained_hash_bounded,sr_64,1024,1024,512,32,5,2698.372,46.855,2677.271,2771.728,2848.217
balanced_tree_bounded,sr_64,1024,1024,512,32,5,7668.329,63.304,7659.971,7734.031,7917.274
psn_dynblock,sr_64,1024,1024,512,32,5,6634.553,77.063,6622.914,6710.916,7004.513
psn_dynblock_adaptive,sr_64,1024,1024,512,32,5,6625.947,49.072,6629.477,6687.240,6732.902
index_only,sr_64,1024,1024,512,32,5,1742.814,10.394,1740.946,1752.030,1798.548
fifo_bounded,gbn_long64,2048,1024,512,32,5,69665.094,1243.085,69513.556,71034.937,72885.864
chained_hash_bounded,gbn_long64,2048,1024,512,32,5,1073.926,19.728,1065.692,1099.733,1139.729
balanced_tree_bounded,gbn_long64,2048,1024,512,32,5,1307.985,24.323,1300.191,1326.009,1415.979
psn_dynblock,gbn_long64,2048,1024,512,32,5,1035.040,23.347,1026.726,1058.496,1131.518
psn_dynblock_adaptive,gbn_long64,2048,1024,512,32,5,1038.581,29.414,1024.850,1071.574,1151.726
index_only,gbn_long64,2048,1024,512,32,5,181.925,1.187,181.301,183.753,185.455
fifo_bounded,gbn_short8,2048,1024,512,32,5,8725.161,256.996,8765.991,9014.343,9229.598
chained_hash_bounded,gbn_short8,2048,1024,512,32,5,88.075,4.172,86.753,91.834,102.929
balanced_tree_bounded,gbn_short8,2048,1024,512,32,5,183.632,1.368,183.431,185.276,187.600
psn_dynblock,gbn_short8,2048,1024,512,32,5,82.185,1.933,81.449,84.971,90.928
psn_dynblock_adaptive,gbn_short8,2048,1024,512,32,5,81.056,1.066,80.846,81.428,86.015
index_only,gbn_short8,2048,1024,512,32,5,23.344,0.168,23.325,23.357,24.714
fifo_bounded,sr_16,2048,1024,512,32,5,16814.728,699.142,16710.934,16948.255,21179.137
chained_hash_bounded,sr_16,2048,1024,512,32,5,525.855,10.291,524.519,533.603,570.204
balanced_tree_bounded,sr_16,2048,1024,512,32,5,5740.169,48.108,5728.985,5790.045,5967.427
psn_dynblock,sr_16,2048,1024,512,32,5,4812.314,70.968,4800.660,4894.506,5087.392
psn_dynblock_adaptive,sr_16,2048,1024,512,32,5,4807.938,64.892,4795.538,4870.237,5073.280
index_only,sr_16,2048,1024,512,32,5,312.507,2.208,312.218,314.683,320.633
fifo_bounded,sr_64,2048,1024,512,32,5,67272.133,245.179,67262.728,67583.824,67949.136
chained_hash_bounded,sr_64,2048,1024,512,32,5,2842.710,60.907,2824.845,2910.226,3069.442
balanced_tree_bounded,sr_64,2048,1024,512,32,5,10092.891,97.512,10078.732,10198.864,10441.736
psn_dynblock,sr_64,2048,1024,512,32,5,8687.901,136.388,8666.768,8792.005,9121.418
psn_dynblock_adaptive,sr_64,2048,1024,512,32,5,8672.764,102.269,8656.613,8779.309,9030.632
index_only,sr_64,2048,1024,512,32,5,1746.303,31.221,1738.080,1751.134,1874.975
fifo_bounded,gbn_long64,4096,1024,512,32,5,138939.067,3324.251,139020.016,143203.735,146164.367
chained_hash_bounded,gbn_long64,4096,1024,512,32,5,1203.379,42.910,1187.601,1295.651,1340.285
balanced_tree_bounded,gbn_long64,4096,1024,512,32,5,1527.269,18.581,1521.782,1558.016,1584.331
psn_dynblock,gbn_long64,4096,1024,512,32,5,1124.220,43.923,1104.029,1224.345,1245.344
psn_dynblock_adaptive,gbn_long64,4096,1024,512,32,5,1119.512,46.139,1101.673,1237.757,1251.616
index_only,gbn_long64,4096,1024,512,32,5,181.729,0.954,181.149,183.570,184.546
fifo_bounded,gbn_short8,4096,1024,512,32,5,17434.590,379.839,17406.410,17939.152,18424.162
chained_hash_bounded,gbn_short8,4096,1024,512,32,5,120.751,7.491,121.062,123.428,134.648
balanced_tree_bounded,gbn_short8,4096,1024,512,32,5,232.491,4.932,231.867,237.455,245.450
psn_dynblock,gbn_short8,4096,1024,512,32,5,106.259,10.770,103.913,107.894,166.172
psn_dynblock_adaptive,gbn_short8,4096,1024,512,32,5,97.274,8.022,92.194,110.026,113.961
index_only,gbn_short8,4096,1024,512,32,5,23.355,0.251,23.327,23.357,24.708
fifo_bounded,sr_16,4096,1024,512,32,5,32752.676,250.735,32737.774,33055.327,33422.956
chained_hash_bounded,sr_16,4096,1024,512,32,5,581.876,8.758,578.360,597.707,607.974
balanced_tree_bounded,sr_16,4096,1024,512,32,5,9953.447,109.819,9945.311,10037.736,10328.319
psn_dynblock,sr_16,4096,1024,512,32,5,8566.312,127.549,8530.563,8749.715,9000.236
psn_dynblock_adaptive,sr_16,4096,1024,512,32,5,8560.302,121.191,8542.599,8748.149,8862.430
index_only,sr_16,4096,1024,512,32,5,313.862,2.339,313.541,316.702,320.478
fifo_bounded,sr_64,4096,1024,512,32,5,140578.942,1682.891,140474.025,141170.353,144493.984
chained_hash_bounded,sr_64,4096,1024,512,32,5,3073.572,63.930,3046.551,3181.546,3296.219
balanced_tree_bounded,sr_64,4096,1024,512,32,5,14497.904,149.874,14498.361,14673.323,15120.572
psn_dynblock,sr_64,4096,1024,512,32,5,12895.475,252.405,12819.502,13114.663,13949.976
psn_dynblock_adaptive,sr_64,4096,1024,512,32,5,12965.774,370.505,12875.252,13215.414,13766.343
index_only,sr_64,4096,1024,512,32,5,1738.817,9.222,1737.388,1750.269,1770.888
fifo_bounded,gbn_long64,5120,1024,512,32,5,172965.938,3517.333,172974.596,177585.770,180914.560
chained_hash_bounded,gbn_long64,5120,1024,512,32,5,1247.214,61.425,1216.519,1373.951,1404.617
balanced_tree_bounded,gbn_long64,5120,1024,512,32,5,1589.932,25.748,1577.615,1635.165,1655.497
psn_dynblock,gbn_long64,5120,1024,512,32,5,1166.831,62.966,1132.274,1276.412,1288.479
psn_dynblock_adaptive,gbn_long64,5120,1024,512,32,5,1169.765,73.249,1130.539,1299.806,1313.197
index_only,gbn_long64,5120,1024,512,32,5,181.799,1.092,181.300,183.482,186.720
fifo_bounded,gbn_short8,5120,1024,512,32,5,21707.951,491.946,21784.950,22318.488,22566.012
chained_hash_bounded,gbn_short8,5120,1024,512,32,5,113.121,2.897,112.778,113.912,120.611
balanced_tree_bounded,gbn_short8,5120,1024,512,32,5,245.708,3.120,245.211,248.561,256.198
psn_dynblock,gbn_short8,5120,1024,512,32,5,95.533,7.257,94.429,95.384,140.403
