# exp1b n_cmp: retrieve 比较次数(纯取包比较; retrieve 前清零、批后累计)
# mean_cmp_per_pkt = total_cmp / (n_ops*reps*count); FIFO=O(N)~N/2; tree=O(log N); hash~O(1); dynblock/index_only=0(Φ纯算术)
# 交付排序不计 n_cmp(n_cmp 只计缓存内检索比较)，每 (method,mode,N) 一行
method,mode,N,payload,total_packets,total_cmp,mean_cmp_per_pkt
fifo_bounded,gbn_long64,128,1024,5242880,339159040,64.689
chained_hash_bounded,gbn_long64,128,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,128,1024,5242880,31547950,6.017
psn_dynblock,gbn_long64,128,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,128,1024,5242880,0,0.000
index_only,gbn_long64,128,1024,5242880,0,0.000
fifo_bounded,gbn_short8,128,1024,655360,42298920,64.543
chained_hash_bounded,gbn_short8,128,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,128,1024,655360,3957000,6.038
psn_dynblock,gbn_short8,128,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,128,1024,655360,0,0.000
index_only,gbn_short8,128,1024,655360,0,0.000
fifo_bounded,sr_16,128,1024,1310720,84648085,64.581
chained_hash_bounded,sr_16,128,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,128,1024,1310720,0,0.000
psn_dynblock,sr_16,128,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,128,1024,1310720,0,0.000
index_only,sr_16,128,1024,1310720,0,0.000
fifo_bounded,sr_64,128,1024,5242880,338210650,64.509
chained_hash_bounded,sr_64,128,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,128,1024,5242880,0,0.000
psn_dynblock,sr_64,128,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,128,1024,5242880,0,0.000
index_only,sr_64,128,1024,5242880,0,0.000
fifo_bounded,gbn_long64,256,1024,5242880,672255040,128.222
chained_hash_bounded,gbn_long64,256,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,256,1024,5242880,36758055,7.011
psn_dynblock,gbn_long64,256,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,256,1024,5242880,0,0.000
index_only,gbn_long64,256,1024,5242880,0,0.000
fifo_bounded,gbn_short8,256,1024,655360,84185840,128.457
chained_hash_bounded,gbn_short8,256,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,256,1024,655360,4602415,7.023
psn_dynblock,gbn_short8,256,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,256,1024,655360,0,0.000
index_only,gbn_short8,256,1024,655360,0,0.000
fifo_bounded,sr_16,256,1024,1310720,168304775,128.406
chained_hash_bounded,sr_16,256,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,256,1024,1310720,0,0.000
psn_dynblock,sr_16,256,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,256,1024,1310720,0,0.000
index_only,sr_16,256,1024,1310720,0,0.000
fifo_bounded,sr_64,256,1024,5242880,673738600,128.505
chained_hash_bounded,sr_64,256,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,256,1024,5242880,0,0.000
psn_dynblock,sr_64,256,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,256,1024,5242880,0,0.000
index_only,sr_64,256,1024,5242880,0,0.000
fifo_bounded,gbn_long64,512,1024,5242880,1339610560,255.510
chained_hash_bounded,gbn_long64,512,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,512,1024,5242880,41979660,8.007
psn_dynblock,gbn_long64,512,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,512,1024,5242880,0,0.000
index_only,gbn_long64,512,1024,5242880,0,0.000
fifo_bounded,gbn_short8,512,1024,655360,169305520,258.340
chained_hash_bounded,gbn_short8,512,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,512,1024,655360,5251485,8.013
psn_dynblock,gbn_short8,512,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,512,1024,655360,0,0.000
index_only,gbn_short8,512,1024,655360,0,0.000
fifo_bounded,sr_16,512,1024,1310720,335985500,256.337
chained_hash_bounded,sr_16,512,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,512,1024,1310720,0,0.000
psn_dynblock,sr_16,512,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,512,1024,1310720,0,0.000
index_only,sr_16,512,1024,1310720,0,0.000
fifo_bounded,sr_64,512,1024,5242880,1344387570,256.422
chained_hash_bounded,sr_64,512,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,512,1024,5242880,0,0.000
psn_dynblock,sr_64,512,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,512,1024,5242880,0,0.000
index_only,sr_64,512,1024,5242880,0,0.000
fifo_bounded,gbn_long64,1024,1024,5242880,2678302720,510.846
chained_hash_bounded,gbn_long64,1024,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,1024,1024,5242880,47209100,9.004
psn_dynblock,gbn_long64,1024,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,1024,1024,5242880,0,0.000
index_only,gbn_long64,1024,1024,5242880,0,0.000
fifo_bounded,gbn_short8,1024,1024,655360,336358800,513.243
chained_hash_bounded,gbn_short8,1024,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,1024,1024,655360,5902160,9.006
psn_dynblock,gbn_short8,1024,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,1024,1024,655360,0,0.000
index_only,gbn_short8,1024,1024,655360,0,0.000
fifo_bounded,sr_16,1024,1024,1310720,671543920,512.347
chained_hash_bounded,sr_16,1024,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,1024,1024,1310720,0,0.000
psn_dynblock,sr_16,1024,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,1024,1024,1310720,0,0.000
index_only,sr_16,1024,1024,1310720,0,0.000
fifo_bounded,sr_64,1024,1024,5242880,2684346080,511.998
chained_hash_bounded,sr_64,1024,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,1024,1024,5242880,0,0.000
psn_dynblock,sr_64,1024,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,1024,1024,5242880,0,0.000
index_only,sr_64,1024,1024,5242880,0,0.000
fifo_bounded,gbn_long64,2048,1024,5242880,5318504960,1014.424
chained_hash_bounded,gbn_long64,2048,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,2048,1024,5242880,52442115,10.003
psn_dynblock,gbn_long64,2048,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,2048,1024,5242880,0,0.000
index_only,gbn_long64,2048,1024,5242880,0,0.000
fifo_bounded,gbn_short8,2048,1024,655360,666968520,1017.713
chained_hash_bounded,gbn_short8,2048,1024,655360,655360,1.000
balanced_tree_bounded,gbn_short8,2048,1024,655360,6555695,10.003
psn_dynblock,gbn_short8,2048,1024,655360,0,0.000
psn_dynblock_adaptive,gbn_short8,2048,1024,655360,0,0.000
index_only,gbn_short8,2048,1024,655360,0,0.000
fifo_bounded,sr_16,2048,1024,1310720,1344552700,1025.812
chained_hash_bounded,sr_16,2048,1024,1310720,1310720,1.000
balanced_tree_bounded,sr_16,2048,1024,1310720,0,0.000
psn_dynblock,sr_16,2048,1024,1310720,0,0.000
psn_dynblock_adaptive,sr_16,2048,1024,1310720,0,0.000
index_only,sr_16,2048,1024,1310720,0,0.000
fifo_bounded,sr_64,2048,1024,5242880,5374456440,1025.096
chained_hash_bounded,sr_64,2048,1024,5242880,5242880,1.000
balanced_tree_bounded,sr_64,2048,1024,5242880,0,0.000
psn_dynblock,sr_64,2048,1024,5242880,0,0.000
psn_dynblock_adaptive,sr_64,2048,1024,5242880,0,0.000
index_only,sr_64,2048,1024,5242880,0,0.000
fifo_bounded,gbn_long64,4096,1024,5242880,10714015360,2043.536
chained_hash_bounded,gbn_long64,4096,1024,5242880,5242880,1.000
balanced_tree_bounded,gbn_long64,4096,1024,5242880,57678835,11.001
psn_dynblock,gbn_long64,4096,1024,5242880,0,0.000
psn_dynblock_adaptive,gbn_long64,4096,1024,5242880,0,0.000
index_only,gbn_long64,4096,1024,5242880,0,0.000
fifo_bounded,gbn_short8,4096,1024,655360,1345472240,2053.028
