epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,2.260,2.314,4.743
1,1,2.250,2.270,4.854
2,1,2.254,2.263,4.751
3,1,2.243,2.245,4.751
4,1,2.229,2.247,4.748
5,1,2.228,2.245,4.734
6,1,2.232,2.247,4.746
7,1,2.226,2.247,4.853
8,1,2.231,2.241,4.745
9,1,2.230,2.244,4.746
10,1,2.228,2.248,4.742
11,1,2.230,2.243,4.747
12,1,2.226,2.246,4.744
13,1,2.230,2.244,4.744
14,1,2.229,2.243,4.866
15,1,2.231,2.244,4.734
16,1,2.226,2.249,4.752
17,2,2.241,2.252,4.740
18,2,2.248,2.265,4.735
19,2,2.254,2.247,4.743
20,2,2.244,2.249,4.871
21,2,2.235,2.252,4.869
22,2,2.243,2.243,4.741
23,2,2.235,3.108,4.735
24,2,2.229,2.250,4.858
25,2,2.360,2.245,4.733
26,2,2.231,2.243,4.859
27,2,2.238,2.305,4.851
28,2,2.238,3.902,4.735
29,2,2.234,2.255,4.872
30,2,2.291,2.334,4.739
31,2,2.248,2.351,4.736
32,2,2.251,2.296,4.855
33,3,2.260,2.247,4.737
34,3,2.235,2.248,4.738
35,3,2.250,2.247,4.870
36,3,2.231,2.248,4.742
37,3,2.232,2.249,4.751
38,3,2.231,2.321,4.735
39,3,2.236,2.250,4.753
40,3,2.247,2.251,4.739
41,3,2.236,2.252,4.743
42,3,2.234,2.251,4.749
43,3,2.231,2.246,4.751
44,3,2.235,2.243,4.745
45,3,2.234,2.243,4.739
46,3,2.233,2.246,4.737
47,3,2.235,2.250,4.748
48,3,2.242,2.253,4.867
49,4,2.250,2.254,4.856
50,4,2.247,2.244,4.855
51,4,2.236,2.241,4.739
52,4,2.239,2.249,4.750
53,4,2.232,2.240,4.737
54,4,2.241,2.248,4.748
55,4,2.236,2.245,4.866
56,4,2.247,2.255,4.751
57,4,2.238,2.243,4.855
58,4,2.238,2.242,4.749
59,4,2.239,2.245,4.751
60,4,2.239,2.244,4.753
61,4,2.240,2.248,4.753
62,4,2.237,2.245,4.743
63,4,2.241,2.244,4.743
64,4,2.233,2.247,4.744
65,5,2.293,2.306,4.803
66,5,2.255,2.295,4.795
67,5,2.279,2.251,4.928
68,5,2.281,2.247,4.744
69,5,2.247,2.251,4.743
70,5,2.575,2.287,4.802
71,5,2.234,2.297,4.740
72,5,2.238,2.245,4.754
73,5,2.241,2.243,4.743
74,5,2.377,2.247,4.753
75,5,2.274,2.319,4.818
76,5,2.258,2.244,4.913
77,5,2.243,2.244,4.917
78,5,2.262,2.293,4.982
79,5,2.253,3.413,4.743
80,5,2.237,2.254,4.919
81,6,2.238,2.245,4.752
82,6,2.297,2.245,4.738
83,6,2.237,2.241,4.737
84,6,2.246,2.241,4.803
85,6,2.297,2.293,4.794
86,6,2.273,2.297,4.864
87,6,2.251,2.245,4.749
88,6,2.242,3.874,4.853
89,6,2.239,2.243,4.749
90,6,2.235,2.277,4.735
91,6,2.323,2.297,4.803
92,6,2.247,2.244,4.791
93,6,2.250,2.244,4.921
94,6,2.267,2.244,4.753
95,6,2.240,2.250,4.913
96,6,2.238,2.245,4.735
97,7,2.242,2.261,4.749
98,7,2.247,2.269,4.811
99,7,2.235,2.242,4.738
100,7,2.234,2.246,4.867
101,7,2.234,2.245,4.751
102,7,2.239,2.247,4.850
103,7,2.421,2.250,4.735
104,7,2.244,2.244,4.750
105,7,2.267,2.251,4.745
106,7,2.241,2.244,4.749
107,7,2.236,2.248,4.752
108,7,2.234,2.244,4.752
109,7,2.238,2.244,4.745
110,7,2.240,2.246,4.741
111,7,2.237,2.247,4.751
112,7,2.248,3.995,4.860
113,8,2.240,2.301,4.752
114,8,2.253,2.254,6.418
115,8,2.233,2.243,4.816
116,8,2.236,2.251,4.740
117,8,2.230,2.247,4.857
118,8,2.235,2.247,4.743
119,8,2.232,2.243,4.748
120,8,2.233,2.243,4.853
121,8,2.339,2.275,4.734
122,8,2.242,2.245,4.740
123,8,2.234,2.244,4.738
124,8,2.233,2.244,4.734
125,8,2.236,2.246,4.851
126,8,2.235,2.244,4.744
127,8,2.235,2.243,4.736
128,8,2.233,2.244,4.749
129,9,2.241,2.258,4.859
130,9,2.241,2.245,4.871
131,9,2.234,2.246,4.747
132,9,2.227,2.245,4.746
133,9,2.295,2.250,4.870
134,9,2.233,2.249,4.753
135,9,2.232,2.246,4.752
136,9,2.242,2.246,4.736
137,9,2.244,2.253,4.853
138,9,2.234,2.247,4.855
139,9,2.235,2.251,4.742
140,9,2.240,2.248,4.750
141,9,2.239,2.249,4.750
142,9,2.243,2.243,4.752
143,9,2.237,2.248,4.874
144,9,2.241,2.264,4.737
145,10,2.234,2.253,4.753
146,10,2.238,2.251,4.736
147,10,2.238,2.242,4.752
148,10,2.227,2.248,4.734
149,10,2.389,2.249,4.745
150,10,2.236,2.244,4.749
151,10,2.230,2.303,4.871
152,10,2.239,2.245,4.870
153,10,2.233,2.248,4.872
154,10,2.238,2.331,4.872
155,10,2.230,2.244,4.745
156,10,2.228,2.241,4.742
157,10,2.232,2.251,4.749
158,10,2.241,2.247,4.853
159,10,2.234,2.247,4.742
160,10,2.230,2.241,4.739
