epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,1342.1773,96,100,0,409600
1,0,1342.1773,84,89,0,364544
2,1,1342.1773,69,71,0,22016
3,1,1342.1773,68,70,0,17920
4,1,1342.1773,80,84,0,21504
5,1,1342.1773,95,105,0,26880
6,1,1342.1773,97,101,0,25856
7,1,1342.1773,69,74,0,18944
8,1,1342.1773,84,85,0,21760
9,1,1342.1773,91,93,0,23808
10,2,1342.1773,76,78,0,39936
11,2,1342.1773,66,66,0,33792
12,2,1342.1773,86,89,0,45568
13,2,1342.1773,93,95,0,48640
14,2,1342.1773,78,82,0,41984
15,2,1342.1773,77,78,0,39936
16,2,1342.1773,79,81,0,41472
17,2,1342.1773,85,86,0,44032
18,3,1342.1773,79,81,0,82944
19,3,1342.1773,84,88,0,90112
20,3,1342.1773,63,66,0,67584
21,3,1342.1773,56,59,0,60416
22,3,1342.1773,77,79,0,80896
23,3,1342.1773,83,86,0,88064
24,3,1342.1773,87,89,0,91136
25,3,1342.1773,89,95,0,97280
26,4,1342.1773,69,75,0,153600
27,4,1342.1773,74,79,0,161792
28,4,1342.1773,83,86,0,176128
29,4,1342.1773,77,79,0,161792
30,4,1342.1773,65,68,0,139264
31,4,1342.1773,85,87,0,178176
32,4,1342.1773,73,74,0,151552
33,4,1342.1773,76,78,0,159744
34,5,1342.1773,80,82,0,335872
35,5,1342.1773,91,98,0,401408
36,5,1342.1773,68,70,0,286720
37,5,1342.1773,81,82,0,335872
38,5,1342.1773,77,84,0,344064
39,5,1342.1773,91,92,0,376832
40,5,1342.1773,80,82,0,335872
41,5,1342.1773,80,86,0,352256
42,6,1342.1773,86,89,0,22784
43,6,1342.1773,71,73,0,18688
44,7,1342.1773,73,75,0,307200
45,7,1342.1773,76,78,0,319488
46,8,1342.1773,83,85,0,21760
47,8,1342.1773,72,76,0,19456
48,9,1342.1773,80,84,0,344064
49,9,1342.1773,79,80,0,327680
50,10,1342.1773,80,81,0,20736
51,10,1342.1773,76,77,0,19712
52,11,1342.1773,83,88,0,360448
53,11,1342.1773,84,87,0,356352
54,12,1342.1773,69,72,0,18432
55,12,1342.1773,92,94,0,24064
56,13,1342.1773,100,100,0,409600
57,13,1342.1773,67,71,0,290816
58,14,1342.1773,64,66,0,16896
59,14,1342.1773,77,81,0,20736
60,15,1342.1773,94,99,0,405504
61,15,1342.1773,99,103,0,421888
62,16,1342.1773,93,95,0,24320
63,16,1342.1773,80,84,0,21504
64,17,1342.1773,65,67,0,274432
65,17,1342.1773,80,82,0,335872
66,18,1342.1773,92,96,0,24576
67,18,1342.1773,95,100,0,25600
68,19,1342.1773,74,76,0,311296
69,19,1342.1773,82,84,0,344064
70,20,1342.1773,83,90,0,23040
71,20,1342.1773,77,80,0,20480
72,21,1342.1773,89,93,0,380928
73,21,1342.1773,84,88,0,360448
74,22,1342.1773,70,77,0,19712
75,22,1342.1773,79,80,0,20480
76,23,1342.1773,75,81,0,331776
77,23,1342.1773,87,90,0,368640
78,24,1342.1773,90,97,0,24832
79,24,1342.1773,74,77,0,19712
80,25,1342.1773,80,82,0,335872
81,25,1342.1773,87,91,0,372736
82,26,1342.1773,80,84,0,21504
83,26,1342.1773,79,83,0,21248
84,27,1342.1773,78,79,0,323584
85,27,1342.1773,80,82,0,335872
86,28,1342.1773,73,74,0,18944
87,28,1342.1773,85,89,0,22784
88,29,1342.1773,75,80,0,327680
89,29,1342.1773,58,63,0,258048
90,30,1342.1773,78,82,0,20992
91,30,1342.1773,80,85,0,21760
92,31,1342.1773,75,75,0,307200
93,31,1342.1773,77,80,0,327680
94,32,1342.1773,57,58,0,14848
95,32,1342.1773,83,87,0,22272
96,33,1342.1773,75,78,0,319488
97,33,1342.1773,81,82,0,335872
98,34,1342.1773,70,73,0,18688
99,34,1342.1773,83,88,0,22528
100,35,1342.1773,87,92,0,376832
101,35,1342.1773,80,83,0,339968
102,36,1342.1773,77,81,0,20736
103,36,1342.1773,83,86,0,22016
104,37,1342.1773,80,84,0,344064
105,37,1342.1773,66,70,0,286720
