epoch,phase,ovf_count,ovf_bytes
0,0,0,0
1,0,0,0
2,1,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
9,1,0,0
10,2,1,544
11,2,0,0
12,2,0,0
13,2,0,0
14,2,0,0
15,2,0,0
16,2,0,0
17,2,0,0
18,3,1,1056
19,3,0,0
20,3,0,0
21,3,0,0
22,3,0,0
23,3,0,0
24,3,0,0
25,3,0,0
26,4,1,2080
27,4,0,0
28,4,0,0
29,4,0,0
30,4,0,0
31,4,0,0
32,4,0,0
33,4,0,0
34,5,1,4128
35,5,0,0
36,5,0,0
37,5,0,0
38,5,0,0
39,5,0,0
40,5,0,0
41,5,0,0
42,6,0,0
43,6,0,0
44,7,1,4128
45,7,0,0
46,8,0,0
47,8,0,0
48,9,1,4128
49,9,0,0
50,10,0,0
51,10,0,0
52,11,1,4128
53,11,0,0
54,12,0,0
55,12,0,0
56,13,1,4128
57,13,0,0
58,14,0,0
59,14,0,0
60,15,1,4128
61,15,0,0
62,16,0,0
63,16,0,0
64,17,1,4128
65,17,0,0
66,18,0,0
67,18,0,0
68,19,1,4128
69,19,0,0
70,20,0,0
71,20,0,0
72,21,1,4128
73,21,0,0
74,22,0,0
75,22,0,0
76,23,1,4128
77,23,0,0
78,24,0,0
79,24,0,0
80,25,1,4128
81,25,0,0
82,26,0,0
83,26,0,0
84,27,1,4128
85,27,0,0
86,28,0,0
87,28,0,0
88,29,1,4128
89,29,0,0
90,30,0,0
91,30,0,0
92,31,1,4128
93,31,0,0
94,32,0,0
95,32,0,0
96,33,1,4128
97,33,0,0
98,34,0,0
99,34,0,0
100,35,1,4128
101,35,0,0
102,36,0,0
103,36,0,0
104,37,1,4128
105,37,0,0
