epoch,S_old,S_new,reason,moved_pkts,resize_ns,drain_ns
2,4096,256,shrink,0,2926,0
10,256,512,overflow_grow,819,1769,95653
18,512,1024,overflow_grow,819,876,174718
26,1024,2048,overflow_grow,819,1336,512959
34,2048,4096,overflow_grow,819,3052,888176
42,4096,256,shrink,0,18161,0
44,256,4096,overflow_grow,819,1276,714823
46,4096,256,shrink,0,2836,0
48,256,4096,overflow_grow,819,732,703409
50,4096,256,shrink,0,1602,0
52,256,4096,overflow_grow,819,640,767665
54,4096,256,shrink,0,1395,0
56,256,4096,overflow_grow,819,798,869854
58,4096,256,shrink,0,2056,0
60,256,4096,overflow_grow,819,989,729756
62,4096,256,shrink,0,2068,0
64,256,4096,overflow_grow,819,727,718906
66,4096,256,shrink,0,1683,0
68,256,4096,overflow_grow,819,726,814026
70,4096,256,shrink,0,13656,0
72,256,4096,overflow_grow,819,1139,785147
74,4096,256,shrink,0,2716,0
76,256,4096,overflow_grow,819,741,700673
78,4096,256,shrink,0,1634,0
80,256,4096,overflow_grow,819,1733,691621
82,4096,256,shrink,0,1396,0
84,256,4096,overflow_grow,819,662,701254
86,4096,256,shrink,0,1350,0
88,256,4096,overflow_grow,819,659,682052
90,4096,256,shrink,0,3444,0
92,256,4096,overflow_grow,819,1047,792504
94,4096,256,shrink,0,2167,0
96,256,4096,overflow_grow,819,793,711288
98,4096,256,shrink,0,1340,0
100,256,4096,overflow_grow,819,665,690541
102,4096,256,shrink,0,1490,0
104,256,4096,overflow_grow,819,655,693820
