epoch,phase,util_adaptive,util_static
0,0,0.9971,0.9971
1,1,0.9552,0.0623
2,1,0.9552,0.0623
3,1,0.9552,0.0623
4,1,0.9552,0.0623
5,1,0.9552,0.0623
6,1,0.9552,0.0623
7,1,0.9552,0.0623
8,1,0.9552,0.0623
9,1,0.9552,0.0623
10,1,0.9552,0.0623
11,1,0.9552,0.0623
12,1,0.9552,0.0623
13,1,0.9552,0.0623
14,1,0.9552,0.0623
15,1,0.9552,0.0623
16,1,0.9552,0.0623
17,2,0.9769,0.1246
18,2,0.9771,0.1246
19,2,0.9771,0.1246
20,2,0.9771,0.1246
21,2,0.9771,0.1246
22,2,0.9771,0.1246
23,2,0.9771,0.1246
24,2,0.9771,0.1246
25,2,0.9771,0.1246
26,2,0.9771,0.1246
27,2,0.9771,0.1246
28,2,0.9771,0.1246
29,2,0.9771,0.1246
30,2,0.9771,0.1246
31,2,0.9771,0.1246
32,2,0.9771,0.1246
33,3,0.9882,0.2493
34,3,0.9884,0.2493
35,3,0.9884,0.2493
36,3,0.9884,0.2493
37,3,0.9884,0.2493
38,3,0.9884,0.2493
39,3,0.9884,0.2493
40,3,0.9884,0.2493
41,3,0.9884,0.2493
42,3,0.9884,0.2493
43,3,0.9884,0.2493
44,3,0.9884,0.2493
45,3,0.9884,0.2493
46,3,0.9884,0.2493
47,3,0.9884,0.2493
48,3,0.9884,0.2493
49,4,0.9939,0.4985
50,4,0.9942,0.4985
51,4,0.9942,0.4985
52,4,0.9942,0.4985
53,4,0.9942,0.4985
54,4,0.9942,0.4985
55,4,0.9942,0.4985
56,4,0.9942,0.4985
57,4,0.9942,0.4985
58,4,0.9942,0.4985
59,4,0.9942,0.4985
60,4,0.9942,0.4985
61,4,0.9942,0.4985
62,4,0.9942,0.4985
63,4,0.9942,0.4985
64,4,0.9942,0.4985
65,5,0.9968,0.9971
66,5,0.9971,0.9971
67,5,0.9971,0.9971
68,5,0.9971,0.9971
69,5,0.9971,0.9971
70,5,0.9971,0.9971
71,5,0.9971,0.9971
72,5,0.9971,0.9971
73,5,0.9971,0.9971
74,5,0.9971,0.9971
75,5,0.9971,0.9971
76,5,0.9971,0.9971
77,5,0.9971,0.9971
78,5,0.9971,0.9971
79,5,0.9971,0.9971
80,5,0.9971,0.9971
81,6,0.9971,0.9971
82,6,0.9971,0.9971
83,6,0.9971,0.9971
84,6,0.9971,0.9971
85,6,0.9971,0.9971
86,6,0.9971,0.9971
87,6,0.9971,0.9971
88,6,0.9971,0.9971
89,6,0.9971,0.9971
90,6,0.9971,0.9971
91,6,0.9971,0.9971
92,6,0.9971,0.9971
93,6,0.9971,0.9971
94,6,0.9971,0.9971
95,6,0.9971,0.9971
96,6,0.9971,0.9971
97,7,0.9942,0.4985
98,7,0.9942,0.4985
99,7,0.9942,0.4985
100,7,0.9942,0.4985
101,7,0.9942,0.4985
102,7,0.9942,0.4985
103,7,0.9942,0.4985
104,7,0.9942,0.4985
105,7,0.9942,0.4985
106,7,0.9942,0.4985
107,7,0.9942,0.4985
108,7,0.9942,0.4985
109,7,0.9942,0.4985
110,7,0.9942,0.4985
111,7,0.9942,0.4985
112,7,0.9942,0.4985
113,8,0.9884,0.2493
114,8,0.9884,0.2493
115,8,0.9884,0.2493
116,8,0.9884,0.2493
117,8,0.9884,0.2493
118,8,0.9884,0.2493
119,8,0.9884,0.2493
120,8,0.9884,0.2493
121,8,0.9884,0.2493
122,8,0.9884,0.2493
123,8,0.9884,0.2493
124,8,0.9884,0.2493
125,8,0.9884,0.2493
126,8,0.9884,0.2493
127,8,0.9884,0.2493
128,8,0.9884,0.2493
129,9,0.9771,0.1246
130,9,0.9771,0.1246
131,9,0.9771,0.1246
132,9,0.9771,0.1246
133,9,0.9771,0.1246
134,9,0.9771,0.1246
135,9,0.9771,0.1246
136,9,0.9771,0.1246
137,9,0.9771,0.1246
138,9,0.9771,0.1246
139,9,0.9771,0.1246
140,9,0.9771,0.1246
141,9,0.9771,0.1246
142,9,0.9771,0.1246
143,9,0.9771,0.1246
144,9,0.9771,0.1246
145,10,0.9552,0.0623
146,10,0.9552,0.0623
147,10,0.9552,0.0623
148,10,0.9552,0.0623
149,10,0.9552,0.0623
150,10,0.9552,0.0623
151,10,0.9552,0.0623
152,10,0.9552,0.0623
153,10,0.9552,0.0623
154,10,0.9552,0.0623
155,10,0.9552,0.0623
156,10,0.9552,0.0623
157,10,0.9552,0.0623
158,10,0.9552,0.0623
159,10,0.9552,0.0623
160,10,0.9552,0.0623
