epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,34.831,366.063,5614.393
1,0,43.426,307.559,4656.946
2,0,11.787,7.520,12139.157
3,0,11.281,8.009,4261.680
4,1,16.488,50.690,5061.002
5,1,11.311,7.520,4743.383
6,1,11.275,7.716,4212.651
7,1,10.878,7.032,4237.263
8,1,11.555,13.185,5004.354
9,1,15.676,7.228,4852.479
10,1,11.354,8.204,4903.657
11,1,10.902,7.423,6276.100
12,1,11.836,8.009,10910.777
13,1,11.531,7.423,9133.400
14,1,24.252,101.868,7466.585
15,1,25.797,117.886,7754.219
16,2,11.751,7.520,9321.315
17,2,13.057,28.031,6878.228
18,3,11.073,7.032,5267.083
19,3,12.062,19.241,4838.512
20,3,11.104,7.228,4595.122
21,3,14.748,52.937,6014.054
22,3,11.024,7.227,4307.585
23,3,11.171,7.130,4305.729
24,3,11.006,7.130,4268.225
25,3,10.939,6.935,4896.333
26,3,11.317,7.520,4315.008
27,3,11.409,7.423,4550.780
28,3,11.458,7.325,4545.115
29,3,11.165,7.130,4756.764
