epoch,phase,util_adaptive,util_static
0,0,0.9894,0.9894
1,0,0.9894,0.9894
2,0,0.9894,0.9894
3,0,0.9894,0.9894
4,1,0.2473,0.2473
5,1,0.9588,0.2473
6,1,0.9588,0.2473
7,1,0.9588,0.2473
8,1,0.9588,0.2473
9,1,0.9588,0.2473
10,1,0.9588,0.2473
11,1,0.9588,0.2473
12,1,0.9588,0.2473
13,1,0.9588,0.2473
14,1,0.9588,0.2473
15,1,0.9588,0.2473
16,2,0.7883,0.9894
17,2,0.9894,0.9894
18,3,0.2473,0.2473
19,3,0.2473,0.2473
20,3,0.2473,0.2473
21,3,0.2473,0.2473
22,3,0.2473,0.2473
23,3,0.2473,0.2473
24,3,0.2473,0.2473
25,3,0.2473,0.2473
26,3,0.9588,0.2473
27,3,0.9588,0.2473
28,3,0.9588,0.2473
29,3,0.9588,0.2473
