epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,3.638,6.934,4095.231
1,0,2.954,9.278,3750.657
2,0,3.107,6.837,3906.536
3,0,8.766,151.777,5200.641
4,1,2.997,47.076,3776.832
5,1,3.162,14.064,5912.252
6,1,3.254,11.134,4264.490
7,1,3.162,62.898,3979.885
8,1,3.125,7.032,4176.491
9,1,3.083,6.739,4031.552
10,1,3.138,6.837,7429.431
11,1,3.113,6.837,3915.912
12,1,3.113,6.642,4061.731
13,1,3.150,37.700,4624.691
14,1,3.150,12.501,4019.929
15,1,3.113,6.837,4148.265
16,2,3.162,6.934,4073.940
17,2,3.363,12.697,4178.737
18,3,3.205,55.280,3969.239
19,3,2.979,6.446,3779.274
20,3,3.131,51.276,3910.735
21,3,3.083,6.641,3934.079
22,3,3.077,36.333,3894.816
23,3,3.095,19.046,5316.182
24,3,3.150,52.546,4175.612
25,3,3.150,6.739,3989.749
26,3,3.186,6.837,4359.912
27,3,3.180,6.837,4151.781
28,3,3.144,6.837,4084.781
29,3,3.144,6.739,4138.303
