# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,4400,0,0,0,4095.231
1,3700,0,0,0,3750.657
2,3900,0,0,0,3906.536
3,11501,0,0,0,5200.641
4,4200,0,0,0,3776.832
5,35404,27003,0,0,5912.252
6,4600,0,0,0,4264.490
7,4400,0,0,0,3979.885
8,4400,0,0,0,4176.491
9,4500,0,0,0,4031.552
10,4600,0,0,0,7429.431
11,4500,0,0,0,3915.912
12,4200,0,0,0,4061.731
13,4200,0,0,0,4624.691
14,4600,0,0,0,4019.929
15,4300,0,0,0,4148.265
16,4100,0,0,2048,4073.940
17,4200,0,0,0,4178.737
18,3900,0,0,0,3969.239
19,3600,0,0,0,3779.274
20,4500,0,0,0,3910.735
21,4200,0,0,0,3934.079
22,4200,0,0,0,3894.816
23,4500,0,0,0,5316.182
24,4500,0,0,0,4175.612
25,36504,27903,0,0,3989.749
26,4300,0,0,0,4359.912
27,4600,0,0,0,4151.781
28,4300,0,0,0,4084.781
29,4400,0,0,0,4138.303
