epoch,phase,S_after,event,L_ring,ovf_count,L_ovf
0,0,4096,none,4096,0,0
1,0,4096,none,4096,0,0
2,1,4096,none,256,0,0
3,1,4096,none,256,0,0
4,1,256,shrink,256,0,0
5,1,256,none,256,0,0
6,1,256,none,256,0,0
7,1,256,none,256,0,0
8,1,256,none,256,0,0
9,1,256,none,256,0,0
10,2,512,grow,512,1,0
11,2,512,none,512,0,0
12,2,512,none,512,0,0
13,2,512,none,512,0,0
14,2,512,none,512,0,0
15,2,512,none,512,0,0
16,2,512,none,512,0,0
17,2,512,none,512,0,0
18,3,1024,grow,1024,1,0
19,3,1024,none,1024,0,0
20,3,1024,none,1024,0,0
21,3,1024,none,1024,0,0
22,3,1024,none,1024,0,0
23,3,1024,none,1024,0,0
24,3,1024,none,1024,0,0
25,3,1024,none,1024,0,0
26,4,2048,grow,2048,1,0
27,4,2048,none,2048,0,0
28,4,2048,none,2048,0,0
29,4,2048,none,2048,0,0
30,4,2048,none,2048,0,0
31,4,2048,none,2048,0,0
32,4,2048,none,2048,0,0
33,4,2048,none,2048,0,0
34,5,4096,grow,4096,1,0
35,5,4096,none,4096,0,0
36,5,4096,none,4096,0,0
37,5,4096,none,4096,0,0
38,5,4096,none,4096,0,0
39,5,4096,none,4096,0,0
40,5,4096,none,4096,0,0
41,5,4096,none,4096,0,0
42,6,4096,none,256,0,0
43,6,256,shrink,256,0,0
44,7,4096,grow,0,1,0
45,7,4096,none,4096,0,0
46,8,4096,none,256,0,0
47,8,4096,none,256,0,0
48,9,4096,none,4096,0,0
49,9,4096,none,4096,0,0
50,10,4096,none,256,0,0
51,10,4096,none,256,0,0
52,11,4096,none,4096,0,0
53,11,4096,none,4096,0,0
54,12,4096,none,256,0,0
55,12,256,shrink,256,0,0
56,13,4096,grow,0,1,0
57,13,4096,none,4096,0,0
58,14,4096,none,256,0,0
59,14,4096,none,256,0,0
60,15,4096,none,4096,0,0
61,15,4096,none,4096,0,0
62,16,4096,none,256,0,0
63,16,4096,none,256,0,0
64,17,4096,none,4096,0,0
65,17,4096,none,4096,0,0
66,18,4096,none,256,0,0
67,18,256,shrink,256,0,0
68,19,4096,grow,0,1,0
69,19,4096,none,4096,0,0
70,20,4096,none,256,0,0
71,20,4096,none,256,0,0
72,21,4096,none,4096,0,0
73,21,4096,none,4096,0,0
74,22,4096,none,256,0,0
75,22,4096,none,256,0,0
76,23,4096,none,4096,0,0
77,23,4096,none,4096,0,0
78,24,4096,none,256,0,0
79,24,256,shrink,256,0,0
80,25,4096,grow,0,1,0
81,25,4096,none,4096,0,0
82,26,4096,none,256,0,0
83,26,4096,none,256,0,0
84,27,4096,none,4096,0,0
85,27,4096,none,4096,0,0
86,28,4096,none,256,0,0
87,28,4096,none,256,0,0
88,29,4096,none,4096,0,0
89,29,4096,none,4096,0,0
90,30,4096,none,256,0,0
91,30,256,shrink,256,0,0
92,31,4096,grow,0,1,0
93,31,4096,none,4096,0,0
94,32,4096,none,256,0,0
95,32,4096,none,256,0,0
96,33,4096,none,4096,0,0
97,33,4096,none,4096,0,0
98,34,4096,none,256,0,0
99,34,4096,none,256,0,0
100,35,4096,none,4096,0,0
101,35,4096,none,4096,0,0
102,36,4096,none,256,0,0
103,36,256,shrink,256,0,0
104,37,4096,grow,0,1,0
105,37,4096,none,4096,0,0
