epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,2.262,2.332,4.745
1,1,2.263,2.283,4.742
2,1,2.267,2.278,4.869
3,1,2.241,2.272,4.750
4,1,2.255,2.274,4.745
5,1,2.297,2.371,4.749
6,1,2.253,2.324,4.860
7,1,2.272,2.282,4.864
8,1,2.267,2.297,4.752
9,1,2.248,2.287,4.741
10,1,2.247,2.282,4.750
11,1,2.245,2.282,4.743
12,1,2.246,2.291,4.743
13,1,2.250,2.281,4.740
14,1,2.250,2.983,4.740
15,1,2.267,2.324,4.741
16,1,2.264,2.448,4.742
17,2,2.263,2.343,4.745
18,2,2.252,2.276,4.737
19,2,2.269,2.279,4.737
20,2,2.265,2.289,4.855
21,2,2.264,2.296,4.734
22,2,2.272,2.291,4.869
23,2,2.249,2.277,4.748
24,2,2.263,2.276,4.752
25,2,2.261,2.285,4.743
26,2,2.254,3.484,4.865
27,2,2.254,2.280,4.743
28,2,2.263,2.289,4.734
29,2,2.257,2.285,4.737
30,2,2.255,2.354,4.743
31,2,2.262,2.279,4.751
32,2,2.261,2.290,4.852
33,3,2.358,2.305,4.753
34,3,2.271,5.547,4.854
35,3,2.223,2.251,4.752
36,3,2.234,2.250,4.735
37,3,2.230,2.250,4.733
38,3,2.221,2.249,4.748
39,3,2.221,2.245,4.872
40,3,2.331,2.259,4.738
41,3,2.222,2.249,4.857
42,3,2.226,2.256,4.865
43,3,2.221,2.247,4.748
44,3,2.225,2.247,4.735
45,3,2.219,2.246,4.864
46,3,2.220,2.251,4.749
47,3,2.225,2.250,4.860
48,3,2.232,3.775,4.866
49,4,2.232,6.516,4.739
50,4,2.228,2.249,4.735
51,4,2.226,2.251,4.747
52,4,2.282,2.252,4.751
53,4,2.224,2.248,4.739
54,4,2.225,2.250,4.742
55,4,2.225,2.244,4.744
56,4,2.231,2.253,4.736
57,4,2.222,2.344,4.737
58,4,2.217,2.246,4.742
59,4,2.224,2.249,4.741
60,4,2.228,2.253,4.742
61,4,2.228,3.545,4.749
62,4,2.249,2.282,4.740
63,4,2.248,2.279,4.739
64,4,2.223,4.036,4.857
65,5,2.309,2.323,4.854
66,5,2.233,2.244,4.736
67,5,2.227,2.247,4.752
68,5,2.227,2.240,4.748
69,5,2.220,2.245,4.753
70,5,2.222,2.256,4.866
71,5,2.226,2.247,5.916
72,5,2.247,2.264,4.870
73,5,2.222,3.172,4.736
74,5,2.225,2.251,4.752
75,5,2.216,2.249,4.859
76,5,2.225,2.250,4.735
77,5,2.244,2.249,4.911
78,5,2.231,2.245,4.753
79,5,2.248,2.302,4.748
80,5,2.228,2.247,4.869
81,6,2.225,2.252,4.867
82,6,2.227,2.259,4.762
83,6,2.223,2.244,4.867
84,6,2.223,2.295,4.736
85,6,2.222,2.247,4.744
86,6,2.226,2.245,4.744
87,6,2.230,2.245,4.735
88,6,2.224,2.249,4.741
89,6,2.217,2.249,4.753
90,6,2.223,2.247,4.865
91,6,2.221,2.252,4.753
92,6,2.214,2.243,4.859
93,6,2.225,2.264,4.874
94,6,2.228,2.246,4.747
95,6,2.240,2.296,4.752
96,6,2.233,2.245,4.735
97,7,2.237,2.308,4.735
98,7,2.231,2.263,4.867
99,7,2.224,2.293,4.755
100,7,2.226,2.250,4.862
101,7,2.225,2.251,4.746
102,7,2.224,2.244,4.853
103,7,2.301,2.252,4.746
104,7,2.294,2.248,4.747
105,7,2.222,2.249,4.853
106,7,2.223,2.251,4.862
107,7,2.220,2.245,4.752
108,7,2.218,2.247,4.865
109,7,2.227,2.255,4.865
110,7,2.220,2.248,4.859
111,7,2.223,2.250,4.743
112,7,2.222,2.259,4.752
113,8,2.236,2.244,4.735
114,8,2.231,2.307,4.752
115,8,2.235,2.248,4.927
116,8,2.221,2.247,4.751
117,8,2.227,2.251,4.959
118,8,2.226,2.250,4.856
119,8,2.227,2.250,4.747
120,8,2.226,2.246,4.735
121,8,2.225,2.247,4.747
122,8,2.236,2.253,4.748
123,8,2.236,2.249,4.747
124,8,2.222,2.249,4.736
125,8,2.226,2.250,4.747
126,8,2.224,2.249,4.735
127,8,2.239,2.271,4.743
128,8,2.223,2.248,4.855
129,9,2.241,2.252,4.736
130,9,2.232,2.267,4.853
131,9,2.220,2.247,4.742
132,9,2.226,2.251,4.741
133,9,2.227,2.255,4.739
134,9,2.221,2.253,4.747
135,9,2.222,2.248,4.748
136,9,2.221,2.249,4.752
137,9,2.228,2.248,4.753
138,9,2.235,2.247,4.742
139,9,2.407,2.251,4.740
140,9,2.229,2.257,4.868
141,9,2.253,3.143,5.018
142,9,2.242,2.253,4.749
143,9,2.224,2.299,4.871
144,9,2.221,2.249,4.745
145,10,2.234,2.253,4.749
146,10,2.228,2.256,4.737
147,10,2.227,2.250,4.739
148,10,2.223,2.250,4.741
149,10,2.220,2.244,4.859
150,10,2.231,2.246,4.747
151,10,2.231,2.251,4.870
152,10,2.222,2.248,4.745
153,10,2.222,2.249,4.745
154,10,2.232,2.246,4.744
155,10,2.240,2.247,4.743
156,10,2.225,2.249,4.745
157,10,2.226,2.250,4.743
158,10,2.231,2.249,4.744
159,10,2.221,2.257,4.915
160,10,2.228,2.245,4.752
