epoch,S_old,S_new,reason,moved_pkts,resize_ns,drain_ns
4,4096,256,shrink,0,3744,0
10,256,512,overflow_grow,819,1032,85544
18,512,1024,overflow_grow,819,959,159107
26,1024,2048,overflow_grow,819,895,318501
34,2048,4096,overflow_grow,819,1594,854752
43,4096,256,shrink,0,6574,0
44,256,4096,overflow_grow,819,434235,830402
55,4096,256,shrink,0,3850,0
56,256,4096,overflow_grow,819,401614,768237
67,4096,256,shrink,0,2871,0
68,256,4096,overflow_grow,819,357525,790969
79,4096,256,shrink,0,2465,0
80,256,4096,overflow_grow,819,315829,743689
91,4096,256,shrink,0,3408,0
92,256,4096,overflow_grow,819,411350,821843
103,4096,256,shrink,0,10523,0
104,256,4096,overflow_grow,819,419930,842725
