epoch,phase,util_adaptive,util_static
0,0,0.9894,0.9894
1,0,0.9894,0.9894
2,1,0.0618,0.0618
3,1,0.0618,0.0618
4,1,0.8533,0.0618
5,1,0.8533,0.0618
6,1,0.8533,0.0618
7,1,0.8533,0.0618
8,1,0.8533,0.0618
9,1,0.8533,0.0618
10,2,0.9206,0.1237
11,2,0.9209,0.1237
12,2,0.9209,0.1237
13,2,0.9209,0.1237
14,2,0.9209,0.1237
15,2,0.9209,0.1237
16,2,0.9209,0.1237
17,2,0.9209,0.1237
18,3,0.9586,0.2473
19,3,0.9588,0.2473
20,3,0.9588,0.2473
21,3,0.9588,0.2473
22,3,0.9588,0.2473
23,3,0.9588,0.2473
24,3,0.9588,0.2473
25,3,0.9588,0.2473
26,4,0.9787,0.4947
27,4,0.9790,0.4947
28,4,0.9790,0.4947
29,4,0.9790,0.4947
30,4,0.9790,0.4947
31,4,0.9790,0.4947
32,4,0.9790,0.4947
33,4,0.9790,0.4947
34,5,0.9891,0.9894
35,5,0.9894,0.9894
36,5,0.9894,0.9894
37,5,0.9894,0.9894
38,5,0.9894,0.9894
39,5,0.9894,0.9894
40,5,0.9894,0.9894
41,5,0.9894,0.9894
42,6,0.0618,0.0618
43,6,0.8533,0.0618
44,7,0.9891,0.9894
45,7,0.9894,0.9894
46,8,0.0618,0.0618
47,8,0.0618,0.0618
48,9,0.9894,0.9894
49,9,0.9894,0.9894
50,10,0.0618,0.0618
51,10,0.0618,0.0618
52,11,0.9894,0.9894
53,11,0.9894,0.9894
54,12,0.0618,0.0618
55,12,0.8533,0.0618
56,13,0.9891,0.9894
57,13,0.9894,0.9894
58,14,0.0618,0.0618
59,14,0.0618,0.0618
60,15,0.9894,0.9894
61,15,0.9894,0.9894
62,16,0.0618,0.0618
63,16,0.0618,0.0618
64,17,0.9894,0.9894
65,17,0.9894,0.9894
66,18,0.0618,0.0618
67,18,0.8533,0.0618
68,19,0.9891,0.9894
69,19,0.9894,0.9894
70,20,0.0618,0.0618
71,20,0.0618,0.0618
72,21,0.9894,0.9894
73,21,0.9894,0.9894
74,22,0.0618,0.0618
75,22,0.0618,0.0618
76,23,0.9894,0.9894
77,23,0.9894,0.9894
78,24,0.0618,0.0618
79,24,0.8533,0.0618
80,25,0.9891,0.9894
81,25,0.9894,0.9894
82,26,0.0618,0.0618
83,26,0.0618,0.0618
84,27,0.9894,0.9894
85,27,0.9894,0.9894
86,28,0.0618,0.0618
87,28,0.0618,0.0618
88,29,0.9894,0.9894
89,29,0.9894,0.9894
90,30,0.0618,0.0618
91,30,0.8533,0.0618
92,31,0.9891,0.9894
93,31,0.9894,0.9894
94,32,0.0618,0.0618
95,32,0.0618,0.0618
96,33,0.9894,0.9894
97,33,0.9894,0.9894
98,34,0.0618,0.0618
99,34,0.0618,0.0618
100,35,0.9894,0.9894
101,35,0.9894,0.9894
102,36,0.0618,0.0618
103,36,0.8533,0.0618
104,37,0.9891,0.9894
105,37,0.9894,0.9894
