epoch,phase,S_after,event,L_ring,ovf_count,L_ovf
0,0,4096,none,4096,0,0
1,0,4096,none,4096,0,0
2,0,4096,none,4096,0,0
3,0,4096,none,4096,0,0
4,1,4096,none,1024,0,0
5,1,1024,shrink,1024,0,0
6,1,1024,none,1024,0,0
7,1,1024,none,1024,0,0
8,1,1024,none,1024,0,0
9,1,1024,none,1024,0,0
10,1,1024,none,1024,0,0
11,1,1024,none,1024,0,0
12,1,1024,none,1024,0,0
13,1,1024,none,1024,0,0
14,1,1024,none,1024,0,0
15,1,1024,none,1024,0,0
16,2,4096,grow,4096,1,0
17,2,4096,none,4096,0,0
18,3,4096,none,1024,0,0
19,3,4096,none,1024,0,0
20,3,4096,none,1024,0,0
21,3,4096,none,1024,0,0
22,3,4096,none,1024,0,0
23,3,4096,none,1024,0,0
24,3,4096,none,1024,0,0
25,3,1024,shrink,1024,0,0
26,3,1024,none,1024,0,0
27,3,1024,none,1024,0,0
28,3,1024,none,1024,0,0
29,3,1024,none,1024,0,0
