# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,19418,0,0,0,4552.700
1,4704,0,0,0,6175.802
2,5104,0,0,0,7518.172
3,5605,0,0,0,10127.353
4,5305,0,0,0,5408.189
5,90885,80675,0,0,5904.356
6,5605,0,0,0,7347.309
7,5204,0,0,0,5607.594
8,13813,0,0,0,6030.158
9,4904,0,0,0,5332.825
10,5405,0,0,0,4881.230
11,78073,0,0,0,6107.769
12,5004,0,0,0,5538.193
13,5505,0,0,0,5544.058
14,6005,0,0,0,6985.153
15,5405,0,0,0,11378.329
16,28626,0,0,2048,9735.482
17,5405,0,0,0,7157.482
18,5204,0,0,0,7527.263
19,5204,0,0,0,4952.684
20,5405,0,0,0,5278.086
21,5405,0,0,0,5745.223
22,5505,0,0,0,5231.265
23,5405,0,0,0,5518.350
24,6005,0,0,0,5326.667
25,42740,31529,0,0,5652.949
26,15414,0,0,0,5794.683
27,5305,0,0,0,8835.421
28,5104,0,0,0,5800.450
29,5004,0,0,0,4923.457
