# exp1a store time cost (batch-amortized). N=4096 timed_ops=100000 reps=2 warm=100000
# B: main=2048 (n_batches=48), xval=1024 (n_batches=97)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), psn_dynblock_fixed=S=4096 固定
# alloc_mode: pooled=一次性预分配复用(主结果) perstore=逐 store malloc/free(第 5 条正交)
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查); block_S=0 表示非 dynblock
# n_malloc/n_free: pooled 恒 0; perstore=计时期逐 store malloc/free 实计数(约 reps*timed_ops)
method,alloc_mode,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_free,n_resize
# --- B=2048 (main): floor median=0.275 ns/op, samples=96 ---
fifo_perstore,perstore,256,4096,2048,48,2,12.340,0.109,12.322,12.340,13.255,0.275,0,196608,196608,0
chained_hash_perstore,perstore,256,4096,2048,48,2,12.749,0.143,12.725,12.833,13.790,0.275,0,196608,196608,0
balanced_tree_perstore,perstore,256,4096,2048,48,2,51.688,1.742,51.230,53.132,62.574,0.275,0,196608,196608,0
psn_dynblock_perstore,perstore,256,4096,2048,48,2,14.249,0.106,14.230,14.297,15.050,0.275,256,196608,196608,0
fifo_perstore,perstore,512,4096,2048,48,2,16.007,0.187,15.969,16.150,16.996,0.275,0,196608,196608,0
chained_hash_perstore,perstore,512,4096,2048,48,2,16.791,0.482,16.674,17.459,18.524,0.275,0,196608,196608,0
balanced_tree_perstore,perstore,512,4096,2048,48,2,55.064,1.851,54.863,55.511,67.064,0.275,0,196608,196608,0
psn_dynblock_perstore,perstore,512,4096,2048,48,2,17.497,0.278,17.443,17.621,18.743,0.275,512,196608,196608,0
fifo_perstore,perstore,1024,4096,2048,48,2,31.111,0.500,31.036,31.725,32.962,0.275,0,196608,196608,0
chained_hash_perstore,perstore,1024,4096,2048,48,2,32.836,0.645,32.793,33.300,34.649,0.275,0,196608,196608,0
balanced_tree_perstore,perstore,1024,4096,2048,48,2,65.508,1.864,65.986,67.252,73.491,0.275,0,196608,196608,0
psn_dynblock_perstore,perstore,1024,4096,2048,48,2,30.294,0.643,30.320,30.481,31.601,0.275,1024,196608,196608,0
fifo_perstore,perstore,2048,4096,2048,48,2,48.541,0.268,48.525,48.785,49.831,0.275,0,196608,196608,0
chained_hash_perstore,perstore,2048,4096,2048,48,2,50.504,0.298,50.474,50.783,51.961,0.275,0,196608,196608,0
balanced_tree_perstore,perstore,2048,4096,2048,48,2,84.624,3.529,84.155,88.816,90.002,0.275,0,196608,196608,0
psn_dynblock_perstore,perstore,2048,4096,2048,48,2,50.969,1.959,50.555,51.469,66.372,0.275,2048,196608,196608,0
fifo_perstore,perstore,4096,4096,2048,48,2,110.163,8.850,107.280,121.684,156.554,0.275,0,196608,196608,0
chained_hash_perstore,perstore,4096,4096,2048,48,2,118.394,14.617,113.455,141.479,182.881,0.275,0,196608,196608,0
balanced_tree_perstore,perstore,4096,4096,2048,48,2,144.417,27.037,137.578,154.450,290.136,0.275,0,196608,196608,0
psn_dynblock_perstore,perstore,4096,4096,2048,48,2,105.890,2.116,105.570,107.601,121.543,0.275,4096,196608,196608,0
# --- B=1024 (xval): floor median=0.189 ns/op, samples=194 ---
fifo_perstore,perstore,256,4096,1024,97,2,12.563,0.086,12.554,12.604,13.301,0.189,0,198656,198656,0
chained_hash_perstore,perstore,256,4096,1024,97,2,13.545,0.294,13.535,13.898,14.593,0.189,0,198656,198656,0
balanced_tree_perstore,perstore,256,4096,1024,97,2,54.708,6.459,52.219,63.706,79.523,0.189,0,198656,198656,0
psn_dynblock_perstore,perstore,256,4096,1024,97,2,14.330,0.240,14.285,14.451,15.863,0.189,256,198656,198656,0
fifo_perstore,perstore,512,4096,1024,97,2,16.049,0.308,15.979,16.282,18.084,0.189,0,198656,198656,0
chained_hash_perstore,perstore,512,4096,1024,97,2,16.510,0.335,16.483,16.773,18.392,0.189,0,198656,198656,0
balanced_tree_perstore,perstore,512,4096,1024,97,2,55.381,1.787,55.002,55.787,67.461,0.189,0,198656,198656,0
psn_dynblock_perstore,perstore,512,4096,1024,97,2,17.269,0.405,17.277,17.638,19.460,0.189,512,198656,198656,0
fifo_perstore,perstore,1024,4096,1024,97,2,31.087,0.487,31.017,31.747,33.103,0.189,0,198656,198656,0
chained_hash_perstore,perstore,1024,4096,1024,97,2,33.303,0.759,33.322,34.014,36.076,0.189,0,198656,198656,0
balanced_tree_perstore,perstore,1024,4096,1024,97,2,65.277,2.127,65.427,67.489,72.872,0.189,0,198656,198656,0
psn_dynblock_perstore,perstore,1024,4096,1024,97,2,30.186,0.664,30.180,30.495,32.069,0.189,1024,198656,198656,0
fifo_perstore,perstore,2048,4096,1024,97,2,48.577,0.437,48.433,49.128,50.067,0.189,0,198656,198656,0
chained_hash_perstore,perstore,2048,4096,1024,97,2,50.982,1.028,50.918,52.123,54.503,0.189,0,198656,198656,0
balanced_tree_perstore,perstore,2048,4096,1024,97,2,83.987,4.083,84.029,88.308,89.838,0.189,0,198656,198656,0
psn_dynblock_perstore,perstore,2048,4096,1024,97,2,50.503,0.687,50.325,51.027,53.609,0.189,2048,198656,198656,0
fifo_perstore,perstore,4096,4096,1024,97,2,100.642,24.293,92.823,106.701,226.948,0.189,0,198656,198656,0
chained_hash_perstore,perstore,4096,4096,1024,97,2,98.381,1.949,98.001,100.827,104.166,0.189,0,198656,198656,0
balanced_tree_perstore,perstore,4096,4096,1024,97,2,140.863,25.371,132.949,162.264,272.078,0.189,0,198656,198656,0
psn_dynblock_perstore,perstore,4096,4096,1024,97,2,94.420,1.713,94.182,96.409,101.452,0.189,4096,198656,198656,0
