# exp1a store time cost (batch-amortized). N=4096 timed_ops=500000 reps=5 warm=500000
# B: main=2048 (n_batches=244), xval=1024 (n_batches=488)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), ring_fixed=S=4096 固定(去弹性)
# alloc_mode: pooled=一次性预分配复用(主结果) perstore=逐 store malloc/free(第 5 条正交)
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查); block_S=0 表示非 dynblock
# n_malloc/n_free: pooled 恒 0; perstore=计时期逐 store malloc/free 实计数(约 reps*timed_ops)
method,alloc_mode,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_free,n_resize
# --- B=2048 (main): floor median=0.275 ns/op, samples=1220 ---
fifo_bounded,pooled,256,4096,2048,244,5,9.449,0.159,9.465,9.590,9.999,0.275,0,0,0,0
chained_hash_bounded,pooled,256,4096,2048,244,5,8.830,0.169,8.807,9.002,9.544,0.275,0,0,0,0
balanced_tree_bounded,pooled,256,4096,2048,244,5,45.923,0.607,45.853,46.300,47.055,0.275,0,0,0,0
psn_dynblock,pooled,256,4096,2048,244,5,8.014,0.187,8.050,8.219,8.507,0.275,256,0,0,0
ring_fixed,pooled,256,4096,2048,244,5,10.617,0.466,10.505,10.860,11.615,0.275,4096,0,0,0
index_only,pooled,256,4096,2048,244,5,1.101,0.027,1.099,1.103,1.105,0.275,0,0,0,0
fifo_bounded,pooled,512,4096,2048,244,5,12.510,0.199,12.479,12.651,13.531,0.275,0,0,0,0
chained_hash_bounded,pooled,512,4096,2048,244,5,12.029,0.293,11.967,12.244,13.042,0.275,0,0,0,0
balanced_tree_bounded,pooled,512,4096,2048,244,5,49.769,0.789,49.763,50.222,51.272,0.275,0,0,0,0
psn_dynblock,pooled,512,4096,2048,244,5,11.676,0.472,11.609,11.813,13.856,0.275,512,0,0,0
ring_fixed,pooled,512,4096,2048,244,5,16.405,0.387,16.444,16.903,17.285,0.275,4096,0,0,0
index_only,pooled,512,4096,2048,244,5,1.101,0.027,1.099,1.104,1.105,0.275,0,0,0,0
fifo_bounded,pooled,1024,4096,2048,244,5,23.296,0.603,23.191,23.629,24.905,0.275,0,0,0,0
chained_hash_bounded,pooled,1024,4096,2048,244,5,23.218,0.326,23.198,23.379,24.686,0.275,0,0,0,0
balanced_tree_bounded,pooled,1024,4096,2048,244,5,53.608,0.774,53.512,54.152,55.971,0.275,0,0,0,0
psn_dynblock,pooled,1024,4096,2048,244,5,22.898,0.264,22.851,23.224,24.040,0.275,1024,0,0,0
ring_fixed,pooled,1024,4096,2048,244,5,28.507,2.113,27.489,32.617,34.018,0.275,4096,0,0,0
index_only,pooled,1024,4096,2048,244,5,1.100,0.025,1.099,1.103,1.104,0.275,0,0,0,0
fifo_bounded,pooled,2048,4096,2048,244,5,43.869,0.490,43.744,44.432,45.693,0.275,0,0,0,0
chained_hash_bounded,pooled,2048,4096,2048,244,5,42.553,0.525,42.379,43.248,44.572,0.275,0,0,0,0
balanced_tree_bounded,pooled,2048,4096,2048,244,5,68.240,0.728,68.043,68.983,70.916,0.275,0,0,0,0
psn_dynblock,pooled,2048,4096,2048,244,5,42.006,0.636,41.860,42.570,43.635,0.275,2048,0,0,0
ring_fixed,pooled,2048,4096,2048,244,5,49.816,1.998,48.924,52.577,55.546,0.275,4096,0,0,0
index_only,pooled,2048,4096,2048,244,5,1.101,0.036,1.099,1.103,1.105,0.275,0,0,0,0
fifo_bounded,pooled,4096,4096,2048,244,5,92.881,15.607,89.068,100.559,176.678,0.275,0,0,0,0
chained_hash_bounded,pooled,4096,4096,2048,244,5,93.302,15.107,89.436,102.580,164.432,0.275,0,0,0,0
balanced_tree_bounded,pooled,4096,4096,2048,244,5,117.476,18.743,112.217,125.311,227.669,0.275,0,0,0,0
psn_dynblock,pooled,4096,4096,2048,244,5,92.776,16.612,88.625,95.855,187.318,0.275,4096,0,0,0
ring_fixed,pooled,4096,4096,2048,244,5,92.106,14.394,88.413,98.180,174.754,0.275,4096,0,0,0
index_only,pooled,4096,4096,2048,244,5,1.101,0.032,1.099,1.104,1.105,0.275,0,0,0,0
# --- B=1024 (xval): floor median=0.189 ns/op, samples=2440 ---
fifo_bounded,pooled,256,4096,1024,488,5,7.208,0.252,7.172,7.319,8.351,0.189,0,0,0,0
chained_hash_bounded,pooled,256,4096,1024,488,5,9.212,0.292,9.177,9.490,10.207,0.189,0,0,0,0
balanced_tree_bounded,pooled,256,4096,1024,488,5,45.926,0.818,45.934,46.432,47.601,0.189,0,0,0,0
psn_dynblock,pooled,256,4096,1024,488,5,7.621,0.186,7.604,7.766,7.922,0.189,256,0,0,0
ring_fixed,pooled,256,4096,1024,488,5,11.894,0.255,11.865,12.094,13.263,0.189,4096,0,0,0
index_only,pooled,256,4096,1024,488,5,1.138,0.066,1.160,1.180,1.183,0.189,0,0,0,0
fifo_bounded,pooled,512,4096,1024,488,5,12.627,0.281,12.592,12.826,14.071,0.189,0,0,0,0
chained_hash_bounded,pooled,512,4096,1024,488,5,12.086,0.314,12.042,12.288,14.020,0.189,0,0,0,0
balanced_tree_bounded,pooled,512,4096,1024,488,5,49.532,1.084,49.599,50.324,51.961,0.189,0,0,0,0
psn_dynblock,pooled,512,4096,1024,488,5,11.386,0.258,11.361,11.513,13.067,0.189,512,0,0,0
ring_fixed,pooled,512,4096,1024,488,5,17.489,0.472,17.421,18.055,19.362,0.189,4096,0,0,0
index_only,pooled,512,4096,1024,488,5,1.139,0.074,1.160,1.182,1.185,0.189,0,0,0,0
fifo_bounded,pooled,1024,4096,1024,488,5,22.394,0.460,22.323,22.570,24.179,0.189,0,0,0,0
chained_hash_bounded,pooled,1024,4096,1024,488,5,23.357,0.486,23.263,23.595,25.463,0.189,0,0,0,0
balanced_tree_bounded,pooled,1024,4096,1024,488,5,53.475,0.746,53.359,53.937,55.645,0.189,0,0,0,0
psn_dynblock,pooled,1024,4096,1024,488,5,22.922,0.442,22.875,23.153,24.959,0.189,1024,0,0,0
ring_fixed,pooled,1024,4096,1024,488,5,28.219,1.407,27.777,29.311,33.901,0.189,4096,0,0,0
index_only,pooled,1024,4096,1024,488,5,1.134,0.049,1.160,1.169,1.172,0.189,0,0,0,0
fifo_bounded,pooled,2048,4096,1024,488,5,42.393,0.598,42.221,43.411,44.607,0.189,0,0,0,0
chained_hash_bounded,pooled,2048,4096,1024,488,5,43.925,0.977,43.653,44.925,48.259,0.189,0,0,0,0
balanced_tree_bounded,pooled,2048,4096,1024,488,5,67.798,0.891,67.580,68.799,70.822,0.189,0,0,0,0
psn_dynblock,pooled,2048,4096,1024,488,5,41.934,0.804,41.780,42.488,44.441,0.189,2048,0,0,0
ring_fixed,pooled,2048,4096,1024,488,5,50.036,2.016,49.063,52.670,55.620,0.189,4096,0,0,0
index_only,pooled,2048,4096,1024,488,5,1.135,0.063,1.160,1.170,1.172,0.189,0,0,0,0
fifo_bounded,pooled,4096,4096,1024,488,5,91.411,12.569,87.786,99.558,150.045,0.189,0,0,0,0
chained_hash_bounded,pooled,4096,4096,1024,488,5,92.997,15.143,89.139,98.767,176.354,0.189,0,0,0,0
balanced_tree_bounded,pooled,4096,4096,1024,488,5,117.921,20.377,113.143,124.550,222.296,0.189,0,0,0,0
psn_dynblock,pooled,4096,4096,1024,488,5,91.016,10.240,88.804,94.505,159.032,0.189,4096,0,0,0
ring_fixed,pooled,4096,4096,1024,488,5,91.181,11.316,88.629,94.742,152.655,0.189,4096,0,0,0
index_only,pooled,4096,4096,1024,488,5,1.136,0.082,1.161,1.170,1.173,0.189,0,0,0,0
