# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.195 ns/op; B=32(xval) median=0.256 ns/op
# 第 35 条口径：pkts_per_op=K（每个操作固定 K 个重传报文；SR=K 个互异 PSN、GBN=K 个连续 PSN，K 在所有 N 下恒定）
# ring_bytes=dynblock 占用面积=N×stride(S)（stride=align16(S)，24B 头不计）；非 dynblock 方法=0（无环缓冲）
# main_metric=batch_p50_ns（每批固定 K 个报文的 retrieve 摊到单批的 p50，即「每批固定 K 个报文」口径）
method,sort_impl,mode,N,pkts_per_op,ring_bytes,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,main_metric
fifo_bounded,0,gbn_long64,128,64,0,1024,512,32,5,4329.323,83.424,4325.712,4398.804,4675.830,batch_p50_ns
fifo_bounded,1,gbn_long64,128,64,0,1024,512,32,5,4310.434,69.487,4307.714,4378.370,4568.097,batch_p50_ns
chained_hash_bounded,0,gbn_long64,128,64,0,1024,512,32,5,1048.383,19.318,1045.252,1055.291,1139.076,batch_p50_ns
chained_hash_bounded,1,gbn_long64,128,64,0,1024,512,32,5,1057.174,18.409,1054.205,1065.481,1179.338,batch_p50_ns
balanced_tree_bounded,0,gbn_long64,128,64,0,1024,512,32,5,1109.918,22.823,1105.925,1113.337,1192.250,batch_p50_ns
balanced_tree_bounded,1,gbn_long64,128,64,0,1024,512,32,5,1110.930,22.416,1105.844,1119.835,1275.535,batch_p50_ns
psn_dynblock,0,gbn_long64,128,64,131072,1024,512,32,5,1028.786,18.162,1025.449,1032.858,1104.949,batch_p50_ns
psn_dynblock,1,gbn_long64,128,64,131072,1024,512,32,5,1027.490,16.148,1025.461,1031.418,1104.916,batch_p50_ns
psn_dynblock_adaptive,0,gbn_long64,128,64,131072,1024,512,32,5,1029.898,23.071,1026.063,1031.936,1192.625,batch_p50_ns
psn_dynblock_adaptive,1,gbn_long64,128,64,131072,1024,512,32,5,1030.757,19.011,1025.824,1035.349,1131.753,batch_p50_ns
ring_fixed,0,gbn_long64,128,64,524288,1024,512,32,5,1109.257,13.255,1106.173,1115.300,1166.933,batch_p50_ns
ring_fixed,1,gbn_long64,128,64,524288,1024,512,32,5,1107.802,10.838,1106.088,1110.307,1145.813,batch_p50_ns
index_only,0,gbn_long64,128,64,0,1024,512,32,5,207.170,11.937,203.569,208.141,264.868,batch_p50_ns
index_only,1,gbn_long64,128,64,0,1024,512,32,5,204.054,1.670,203.373,204.665,211.631,batch_p50_ns
fifo_bounded,0,gbn_short8,128,8,0,1024,512,32,5,558.378,16.704,557.149,574.115,613.437,batch_p50_ns
