# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.293 ns/op; B=32(xval) median=0.375 ns/op
method,sort_impl,mode,N,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
fifo_bounded,0,gbn_long64,128,1024,512,32,5,4446.703,54.407,4451.890,4501.638,4582.690
fifo_bounded,1,gbn_long64,128,1024,512,32,5,4441.525,50.641,4448.465,4498.475,4545.310
chained_hash_bounded,0,gbn_long64,128,1024,512,32,5,1004.465,9.220,1003.351,1008.625,1068.414
chained_hash_bounded,1,gbn_long64,128,1024,512,32,5,1013.237,8.352,1011.473,1022.012,1053.744
balanced_tree_bounded,0,gbn_long64,128,1024,512,32,5,1068.164,3.290,1067.821,1070.876,1077.171
balanced_tree_bounded,1,gbn_long64,128,1024,512,32,5,1067.048,3.942,1066.421,1069.277,1083.308
psn_dynblock,0,gbn_long64,128,1024,512,32,5,987.701,7.181,986.499,991.532,1007.688
psn_dynblock,1,gbn_long64,128,1024,512,32,5,988.208,3.570,987.486,991.285,1004.897
psn_dynblock_adaptive,0,gbn_long64,128,1024,512,32,5,987.037,3.499,986.634,991.527,997.024
psn_dynblock_adaptive,1,gbn_long64,128,1024,512,32,5,987.177,5.245,986.096,990.687,1008.591
ring_fixed,0,gbn_long64,128,1024,512,32,5,1042.251,3.323,1042.061,1046.091,1052.776
