exp1b floor: B=512 median=0.293 ns/op; B=32 (xval) median=0.375 ns/op
  fifo_bounded           si=0 gbn_long64  N=  128  p50= 4451.890  p90= 4501.638
  fifo_bounded           si=1 gbn_long64  N=  128  p50= 4448.465  p90= 4498.475
  chained_hash_bounded   si=0 gbn_long64  N=  128  p50= 1003.351  p90= 1008.625
  chained_hash_bounded   si=1 gbn_long64  N=  128  p50= 1011.473  p90= 1022.012
  balanced_tree_bounded  si=0 gbn_long64  N=  128  p50= 1067.821  p90= 1070.876
  balanced_tree_bounded  si=1 gbn_long64  N=  128  p50= 1066.421  p90= 1069.277
  psn_dynblock           si=0 gbn_long64  N=  128  p50=  986.499  p90=  991.532
  psn_dynblock           si=1 gbn_long64  N=  128  p50=  987.486  p90=  991.285
  psn_dynblock_adaptive  si=0 gbn_long64  N=  128  p50=  986.634  p90=  991.527
  psn_dynblock_adaptive  si=1 gbn_long64  N=  128  p50=  986.096  p90=  990.687
  ring_fixed             si=0 gbn_long64  N=  128  p50= 1042.061  p90= 1046.091
  ring_fixed             si=1 gbn_long64  N=  128  p50= 1042.236  p90= 1048.012
  index_only             si=0 gbn_long64  N=  128  p50=  181.494  p90=  184.280
  index_only             si=1 gbn_long64  N=  128  p50=  183.506  p90=  184.209
  fifo_bounded           si=0 gbn_short8  N=  128  p50=  544.745  p90=  558.806
  fifo_bounded           si=1 gbn_short8  N=  128  p50=  543.513  p90=  557.259
  chained_hash_bounded   si=0 gbn_short8  N=  128  p50=   86.472  p90=   87.799
  chained_hash_bounded   si=1 gbn_short8  N=  128  p50=   86.252  p90=   86.951
  balanced_tree_bounded  si=0 gbn_short8  N=  128  p50=  115.271  p90=  116.013
  balanced_tree_bounded  si=1 gbn_short8  N=  128  p50=  115.171  p90=  116.172
  psn_dynblock           si=0 gbn_short8  N=  128  p50=   71.651  p90=   72.198
  psn_dynblock           si=1 gbn_short8  N=  128  p50=   71.832  p90=   72.737
  psn_dynblock_adaptive  si=0 gbn_short8  N=  128  p50=   72.126  p90=   73.961
  psn_dynblock_adaptive  si=1 gbn_short8  N=  128  p50=   72.210  p90=   73.664
  ring_fixed             si=0 gbn_short8  N=  128  p50=   76.851  p90=   77.137
  ring_fixed             si=1 gbn_short8  N=  128  p50=   76.789  p90=   77.094
  index_only             si=0 gbn_short8  N=  128  p50=   23.325  p90=   23.357
  index_only             si=1 gbn_short8  N=  128  p50=   23.321  p90=   23.354
  fifo_bounded           si=0 sr_16       N=  128  p50= 1424.209  p90= 1433.980
  fifo_bounded           si=1 sr_16       N=  128  p50= 1259.009  p90= 1268.029
  chained_hash_bounded   si=0 sr_16       N=  128  p50=  461.110  p90=  465.490
  chained_hash_bounded   si=1 sr_16       N=  128  p50=  298.177  p90=  301.062
  balanced_tree_bounded  si=0 sr_16       N=  128  p50=  561.769  p90=  565.541
  balanced_tree_bounded  si=1 sr_16       N=  128  p50=  401.016  p90=  404.201
  psn_dynblock           si=0 sr_16       N=  128  p50=  197.506  p90=  201.867
  psn_dynblock           si=1 sr_16       N=  128  p50=  196.823  p90=  198.858
  psn_dynblock_adaptive  si=0 sr_16       N=  128  p50=  197.374  p90=  200.456
  psn_dynblock_adaptive  si=1 sr_16       N=  128  p50=  197.179  p90=  200.564
  ring_fixed             si=0 sr_16       N=  128  p50=  189.142  p90=  191.245
  ring_fixed             si=1 sr_16       N=  128  p50=  189.125  p90=  190.680
  index_only             si=0 sr_16       N=  128  p50=  317.454  p90=  320.368
  index_only             si=1 sr_16       N=  128  p50=  156.719  p90=  157.910
  fifo_bounded           si=0 sr_64       N=  128  p50= 6197.293  p90= 6221.444
  fifo_bounded           si=1 sr_64       N=  128  p50= 5264.778  p90= 5283.025
  chained_hash_bounded   si=0 sr_64       N=  128  p50= 2575.263  p90= 2589.492
