# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,74,0,0,0,4.743
1,2362,2326,0,0,4.854
2,91,0,0,0,4.751
3,18,0,0,0,4.751
4,6,0,0,0,4.748
5,6,0,0,0,4.734
6,7,0,0,0,4.746
7,6,0,0,0,4.853
8,7,0,0,0,4.745
9,7,0,0,0,4.746
10,6,0,0,0,4.742
11,7,0,0,0,4.747
12,6,0,0,0,4.744
13,6,0,0,0,4.744
14,7,0,0,0,4.866
15,6,0,0,0,4.734
16,6,0,0,0,4.752
17,328,0,0,819,4.740
18,133,0,0,0,4.735
19,21,0,0,0,4.743
20,21,0,0,0,4.871
21,20,0,0,0,4.869
22,14,0,0,0,4.741
23,7,0,0,0,4.735
24,6,0,0,0,4.858
25,7,0,0,0,4.733
26,6,0,0,0,4.859
27,14,0,0,0,4.851
28,7,0,0,0,4.735
29,7,0,0,0,4.872
30,163,0,0,0,4.739
31,9,0,0,0,4.736
32,7,0,0,0,4.855
33,813,0,0,819,4.737
34,39,0,0,0,4.738
35,47,0,0,0,4.870
36,33,0,0,0,4.742
37,7,0,0,0,4.751
38,20,0,0,0,4.735
39,21,0,0,0,4.753
40,24,0,0,0,4.739
41,36,0,0,0,4.743
42,29,0,0,0,4.749
43,41,0,0,0,4.751
44,7,0,0,0,4.745
45,7,0,0,0,4.739
46,7,0,0,0,4.737
47,7,0,0,0,4.748
48,23,0,0,0,4.867
49,605,0,0,819,4.856
50,50,0,0,0,4.855
51,45,0,0,0,4.739
52,45,0,0,0,4.750
53,37,0,0,0,4.737
54,8,0,0,0,4.748
55,8,0,0,0,4.866
56,11,0,0,0,4.751
57,27,0,0,0,4.855
58,30,0,0,0,4.749
59,27,0,0,0,4.751
60,9,0,0,0,4.753
61,31,0,0,0,4.753
62,27,0,0,0,4.743
63,8,0,0,0,4.743
64,28,0,0,0,4.744
65,780,0,0,819,4.803
66,117,0,0,0,4.795
67,209,0,0,0,4.928
68,148,0,0,0,4.744
69,88,0,0,0,4.743
70,104,0,0,0,4.802
71,30,0,0,0,4.740
72,35,0,0,0,4.754
73,37,0,0,0,4.743
74,269,0,0,0,4.753
75,105,0,0,0,4.818
76,84,0,0,0,4.913
77,129,0,0,0,4.917
78,158,0,0,0,4.982
79,13,0,0,0,4.743
80,34,0,0,0,4.919
81,14,0,0,0,4.752
82,78,0,0,0,4.738
83,13,0,0,0,4.737
84,23,0,0,0,4.803
85,174,0,0,0,4.794
86,14,0,0,0,4.864
87,8,0,0,0,4.749
88,9,0,0,0,4.853
89,14,0,0,0,4.749
90,14,0,0,0,4.735
91,344,0,0,0,4.803
92,14,0,0,0,4.791
93,13,0,0,0,4.921
94,14,0,0,0,4.753
95,15,0,0,0,4.913
96,46,0,0,0,4.735
97,3707,3504,0,0,4.749
98,55,0,0,0,4.811
99,9,0,0,0,4.738
100,9,0,0,0,4.867
101,9,0,0,0,4.751
102,9,0,0,0,4.850
103,9,0,0,0,4.735
104,9,0,0,0,4.750
105,84,0,0,0,4.745
106,69,0,0,0,4.749
107,8,0,0,0,4.752
108,9,0,0,0,4.752
109,9,0,0,0,4.745
110,9,0,0,0,4.741
111,8,0,0,0,4.751
112,8,0,0,0,4.860
113,3070,2960,0,0,4.752
114,109,0,0,0,6.418
115,7,0,0,0,4.816
116,7,0,0,0,4.740
117,7,0,0,0,4.857
118,7,0,0,0,4.743
119,7,0,0,0,4.748
120,7,0,0,0,4.853
121,25,0,0,0,4.734
122,7,0,0,0,4.740
123,7,0,0,0,4.738
124,7,0,0,0,4.734
125,7,0,0,0,4.851
126,7,0,0,0,4.744
127,7,0,0,0,4.736
128,7,0,0,0,4.749
129,2228,2178,0,0,4.859
130,26,0,0,0,4.871
131,35,0,0,0,4.747
132,7,0,0,0,4.746
133,36,0,0,0,4.870
134,22,0,0,0,4.753
135,20,0,0,0,4.752
136,6,0,0,0,4.736
137,7,0,0,0,4.853
138,7,0,0,0,4.855
139,7,0,0,0,4.742
140,7,0,0,0,4.750
141,7,0,0,0,4.750
142,7,0,0,0,4.752
143,6,0,0,0,4.874
144,7,0,0,0,4.737
145,1154,1115,0,0,4.753
146,31,0,0,0,4.736
147,13,0,0,0,4.752
148,5,0,0,0,4.734
149,6,0,0,0,4.745
150,13,0,0,0,4.749
151,7,0,0,0,4.871
152,7,0,0,0,4.870
153,6,0,0,0,4.872
154,6,0,0,0,4.872
155,6,0,0,0,4.745
156,6,0,0,0,4.742
157,7,0,0,0,4.749
158,6,0,0,0,4.853
159,6,0,0,0,4.742
160,6,0,0,0,4.739
