epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,13.063,14.260,5074.462
1,0,12.184,16.995,4364.496
2,0,12.654,8.400,4705.170
3,0,11.983,15.823,4412.257
4,1,11.989,7.618,11981.903
5,1,14.095,42.096,10537.065
6,1,25.065,132.832,14765.019
7,1,11.256,7.521,9053.941
8,1,15.676,9.962,4765.823
9,1,15.530,57.918,4561.400
10,1,11.250,7.325,7683.920
11,1,17.263,7.228,7592.989
12,1,22.824,101.870,8064.639
13,1,24.930,9.767,8493.021
14,1,12.435,8.498,11471.380
15,1,23.490,97.182,8091.986
16,2,15.163,59.872,10893.074
17,2,12.838,19.827,7744.280
18,3,11.208,7.521,7044.180
19,3,11.318,7.228,6239.376
20,3,15.701,75.304,4825.696
21,3,12.319,7.911,5725.044
22,3,13.704,10.939,6304.620
23,3,11.195,7.325,4848.257
24,3,14.950,21.585,7605.198
25,3,12.856,15.628,6582.980
26,3,11.556,7.716,5418.457
27,3,13.008,9.181,5132.966
28,3,12.258,7.911,4886.837
29,3,34.758,373.198,4878.828
