# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,9601,0,0,0,5074.462
1,9601,0,0,0,4364.496
2,9101,0,0,0,4705.170
3,9901,0,0,0,4412.257
4,9901,0,0,0,11981.903
5,40205,27004,0,0,10537.065
6,8301,0,0,0,14765.019
7,8001,0,0,0,9053.941
8,8701,0,0,0,4765.823
9,8701,0,0,0,4561.400
10,7601,0,0,0,7683.920
11,122417,0,0,0,7592.989
12,7701,0,0,0,8064.639
13,8101,0,0,0,8493.021
14,8801,0,0,0,11471.380
15,8801,0,0,0,8091.986
16,8601,0,0,2048,10893.074
17,8501,0,0,0,7744.280
18,8901,0,0,0,7044.180
19,7901,0,0,0,6239.376
20,9201,0,0,0,4825.696
21,9101,0,0,0,5725.044
22,9101,0,0,0,6304.620
23,9501,0,0,0,4848.257
24,8501,0,0,0,7605.198
25,44206,28304,0,0,6582.980
26,9401,0,0,0,5418.457
27,8101,0,0,0,5132.966
28,8201,0,0,0,4886.837
29,8201,0,0,0,4878.828
