epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,3355.4432,1,120,0,65536
1,0,3355.4432,2,195,0,131072
2,0,3355.4432,2,234,0,131072
3,0,3355.4432,2,216,0,131072
4,1,3355.4432,2,213,0,131072
5,1,3355.4432,2,211,0,131072
6,1,3355.4432,2,209,0,131072
7,1,3355.4432,2,205,0,131072
8,1,3355.4432,2,196,0,131072
9,1,3355.4432,2,187,0,131072
10,1,3355.4432,2,225,0,131072
11,1,3355.4432,2,201,0,131072
12,1,3355.4432,2,194,0,131072
13,1,3355.4432,2,198,0,131072
14,1,3355.4432,2,213,0,131072
15,1,3355.4432,2,207,0,131072
16,2,3355.4432,2,224,0,131072
17,2,3355.4432,2,203,0,131072
18,3,3355.4432,2,200,0,131072
19,3,3355.4432,2,203,0,131072
20,3,3355.4432,2,202,0,131072
21,3,3355.4432,2,205,0,131072
22,3,3355.4432,2,230,0,131072
23,3,3355.4432,2,188,0,131072
24,3,3355.4432,2,236,0,131072
25,3,3355.4432,2,219,0,131072
26,3,3355.4432,2,219,0,131072
27,3,3355.4432,2,214,0,131072
28,3,3355.4432,2,220,0,131072
29,3,3355.4432,2,224,0,131072
