epoch,phase,S_after,event,L_ring,ovf_count,L_ovf
0,0,4096,none,1024,0,0
1,0,4096,none,1024,0,0
2,0,4096,none,1024,0,0
3,0,4096,none,1024,0,0
4,0,1024,shrink,1024,0,0
5,0,1024,none,1024,0,0
6,1,1024,none,1024,319,4096
7,1,4096,grow,1024,311,4096
8,1,4096,none,4096,0,0
9,1,4096,none,4096,0,0
10,1,4096,none,4096,0,0
11,1,4096,none,4096,0,0
12,1,4096,none,4096,0,0
13,1,4096,none,4096,0,0
14,1,4096,none,4096,0,0
15,1,4096,none,4096,0,0
16,1,4096,none,4096,0,0
17,1,4096,none,4096,0,0
18,1,4096,none,4096,0,0
19,1,4096,none,4096,0,0
20,1,4096,none,4096,0,0
21,1,4096,none,4096,0,0
22,1,4096,none,4096,0,0
23,1,4096,none,4096,0,0
24,1,4096,none,4096,0,0
25,1,4096,none,4096,0,0
26,1,4096,none,4096,0,0
27,1,4096,none,4096,0,0
28,1,4096,none,4096,0,0
29,1,4096,none,4096,0,0
30,1,4096,none,4096,0,0
31,1,4096,none,4096,0,0
32,1,4096,none,4096,0,0
33,1,4096,none,4096,0,0
34,1,4096,none,4096,0,0
35,1,4096,none,4096,0,0
36,1,4096,none,4096,0,0
37,1,4096,none,4096,0,0
38,1,4096,none,4096,0,0
39,1,4096,none,4096,0,0
40,1,4096,none,4096,0,0
41,1,4096,none,4096,0,0
42,1,4096,none,4096,0,0
43,1,4096,none,4096,0,0
44,1,4096,none,4096,0,0
45,1,4096,none,4096,0,0
