epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,2.979,6.153,3763.576
1,0,2.985,6.544,4207.395
2,0,3.107,6.935,4099.468
3,0,3.168,6.739,4060.106
4,0,3.083,6.349,3797.956
5,0,7.350,23.930,4436.825
6,1,3.675,9.181,5224.448
7,1,3.882,58.798,5890.080
8,1,3.248,6.739,4125.449
9,1,3.168,8.400,4654.633
10,1,3.180,54.305,4099.956
11,1,7.051,6.544,3875.117
12,1,6.141,6.739,4080.129
13,1,3.083,6.642,4342.377
14,1,3.095,11.623,4057.860
15,1,3.144,7.033,4125.058
16,1,6.220,7.130,4289.048
17,1,3.290,7.619,3947.003
18,1,3.132,6.544,3919.069
19,1,3.193,6.837,4146.936
20,1,3.113,6.739,4164.810
21,1,3.083,6.935,4066.162
22,1,3.187,54.403,4083.059
23,1,3.113,53.036,5356.598
24,1,3.113,6.446,3928.152
25,1,3.144,6.642,3953.547
26,1,3.064,6.544,3979.821
27,1,3.144,6.739,4194.893
28,1,3.168,6.739,4086.575
29,1,3.235,58.798,4103.375
30,1,3.101,6.739,4008.536
31,1,3.174,6.837,4655.121
32,1,3.174,7.618,4234.840
33,1,3.132,18.558,4140.783
34,1,3.663,6.934,4068.799
35,1,3.187,13.869,4091.752
36,1,3.040,6.446,3817.002
37,1,3.095,8.400,4053.562
38,1,3.199,6.739,5149.632
39,1,3.150,12.307,4095.756
40,1,3.150,6.739,4116.854
41,1,3.168,6.837,4053.660
42,1,3.125,7.814,3925.612
43,1,3.138,6.544,4139.025
44,1,3.162,6.642,4111.482
45,1,3.174,6.739,4123.495
