# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,8301,0,0,0,4337.784
1,7601,0,0,0,4331.827
2,7701,0,0,0,8536.780
3,8901,0,0,0,5764.341
4,8301,0,0,0,4701.212
5,39005,26603,0,0,4554.512
6,9001,0,0,0,5886.721
7,7600,0,0,0,4607.254
8,7601,0,0,0,5727.227
9,7400,0,0,0,7037.655
10,7800,0,0,0,5778.797
11,8601,0,0,0,4768.701
12,7701,0,0,0,5003.205
13,8001,0,0,0,4560.079
14,8101,0,0,0,8859.284
15,8401,0,0,0,5283.320
16,7701,0,0,2048,7017.145
17,8701,0,0,0,4231.423
18,7501,0,0,0,5193.172
19,7701,0,0,0,8210.272
20,9601,0,0,0,4993.341
21,8200,0,0,0,8479.156
22,8801,0,0,0,5753.403
23,8701,0,0,0,5012.484
24,9701,0,0,0,5164.262
25,38005,26303,0,0,4936.009
26,9001,0,0,0,4379.880
27,8401,0,0,0,4332.022
28,8801,0,0,0,4312.879
29,9801,0,0,0,4394.725
