epoch,phase,elapsed_us,nak_n,hit,miss,bytes_retrans
0,0,1342.1773,96,100,0,409600
1,0,1342.1773,84,89,0,364544
2,0,1342.1773,69,71,0,290816
3,0,1342.1773,68,70,0,286720
4,1,1342.1773,80,84,0,86016
5,1,1342.1773,95,105,0,107520
6,1,1342.1773,97,101,0,103424
7,1,1342.1773,69,74,0,75776
8,1,1342.1773,84,85,0,87040
9,1,1342.1773,91,93,0,95232
10,1,1342.1773,76,78,0,79872
11,1,1342.1773,66,66,0,67584
12,1,1342.1773,86,89,0,91136
13,1,1342.1773,93,95,0,97280
14,1,1342.1773,78,82,0,83968
15,1,1342.1773,77,78,0,79872
16,2,1342.1773,79,81,0,331776
17,2,1342.1773,85,86,0,352256
18,3,1342.1773,79,81,0,82944
19,3,1342.1773,84,88,0,90112
20,3,1342.1773,63,66,0,67584
21,3,1342.1773,56,59,0,60416
22,3,1342.1773,77,79,0,80896
23,3,1342.1773,83,86,0,88064
24,3,1342.1773,87,89,0,91136
25,3,1342.1773,89,95,0,97280
26,3,1342.1773,69,75,0,76800
27,3,1342.1773,74,79,0,80896
28,3,1342.1773,83,86,0,88064
29,3,1342.1773,77,79,0,80896
