# 注意：check_ns/resize_ns/drain_ns 是单次事件计时（各一对 rdtsc），含 ~2*clock_floor_ns 读钟底噪；只能读作「<= 底噪+未知」，不可读作「很小」
epoch,check_ns,resize_ns,drain_ns,moved_pkts,clock_floor_ns
0,21,0,0,0,4.745
1,192,0,0,0,4.742
2,12,0,0,0,4.869
3,140,0,0,0,4.750
4,3865,3815,0,0,4.745
5,53,0,0,0,4.749
6,31,0,0,0,4.860
7,21,0,0,0,4.864
8,19,0,0,0,4.752
9,18,0,0,0,4.741
10,7,0,0,0,4.750
11,14,0,0,0,4.743
12,14,0,0,0,4.743
13,7,0,0,0,4.740
14,7,0,0,0,4.740
15,7,0,0,0,4.741
16,14,0,0,0,4.742
17,21,0,0,819,4.745
18,14,0,0,0,4.737
19,11,0,0,0,4.737
20,4,0,0,0,4.855
21,47,0,0,0,4.734
22,34,0,0,0,4.869
23,20,0,0,0,4.748
24,8,0,0,0,4.752
25,27,0,0,0,4.743
26,23,0,0,0,4.865
27,7,0,0,0,4.743
28,30,0,0,0,4.734
29,7,0,0,0,4.737
30,7,0,0,0,4.743
31,8,0,0,0,4.751
32,7,0,0,0,4.852
33,22,0,0,819,4.753
34,10,0,0,0,4.854
35,10,0,0,0,4.752
36,4,0,0,0,4.735
37,55,0,0,0,4.733
38,49,0,0,0,4.748
39,44,0,0,0,4.872
40,9,0,0,0,4.738
41,16,0,0,0,4.857
42,15,0,0,0,4.865
43,8,0,0,0,4.748
44,7,0,0,0,4.735
45,8,0,0,0,4.864
46,7,0,0,0,4.749
47,7,0,0,0,4.860
48,14,0,0,0,4.866
49,27,0,0,819,4.739
50,23,0,0,0,4.735
51,7,0,0,0,4.747
52,6,0,0,0,4.751
53,56,0,0,0,4.739
54,60,0,0,0,4.742
55,47,0,0,0,4.744
56,51,0,0,0,4.736
57,207,0,0,0,4.737
58,42,0,0,0,4.742
59,97,0,0,0,4.741
60,14,0,0,0,4.742
61,67,0,0,0,4.749
62,69,0,0,0,4.740
63,48,0,0,0,4.739
64,43,0,0,0,4.857
65,36,0,0,819,4.854
66,37,0,0,0,4.736
67,43,0,0,0,4.752
68,4,0,0,0,4.748
69,73,0,0,0,4.753
70,38,0,0,0,4.866
71,19,0,0,0,5.916
72,100,0,0,0,4.870
73,34,0,0,0,4.736
74,255,0,0,0,4.752
75,67,0,0,0,4.859
76,16,0,0,0,4.735
77,229,0,0,0,4.911
78,96,0,0,0,4.753
79,75,0,0,0,4.748
80,110,0,0,0,4.869
81,15,0,0,0,4.867
82,135,0,0,0,4.762
83,37,0,0,0,4.867
84,52,0,0,0,4.736
85,27,0,0,0,4.744
86,35,0,0,0,4.744
87,14,0,0,0,4.735
88,50,0,0,0,4.741
89,25,0,0,0,4.753
90,28,0,0,0,4.865
91,104,0,0,0,4.753
92,20,0,0,0,4.859
93,14,0,0,0,4.874
94,17,0,0,0,4.747
95,24,0,0,0,4.752
96,19,0,0,0,4.735
97,193,0,0,0,4.735
98,8650,8554,0,0,4.867
99,39,0,0,0,4.755
100,26,0,0,0,4.862
101,9,0,0,0,4.746
102,10,0,0,0,4.853
103,9,0,0,0,4.746
104,88,0,0,0,4.747
105,8,0,0,0,4.853
106,9,0,0,0,4.862
107,9,0,0,0,4.752
108,11,0,0,0,4.865
109,9,0,0,0,4.865
110,9,0,0,0,4.859
111,9,0,0,0,4.743
112,9,0,0,0,4.752
113,60,0,0,0,4.735
114,3686,3615,0,0,4.752
115,99,0,0,0,4.927
116,68,0,0,0,4.751
117,16,0,0,0,4.959
118,14,0,0,0,4.856
119,15,0,0,0,4.747
120,14,0,0,0,4.735
121,7,0,0,0,4.747
122,15,0,0,0,4.748
123,7,0,0,0,4.747
124,22,0,0,0,4.736
125,18,0,0,0,4.747
126,16,0,0,0,4.735
127,16,0,0,0,4.743
128,16,0,0,0,4.855
129,50,0,0,0,4.736
130,2095,2049,0,0,4.853
131,42,0,0,0,4.742
132,37,0,0,0,4.741
133,6,0,0,0,4.739
134,20,0,0,0,4.747
135,7,0,0,0,4.748
136,7,0,0,0,4.752
137,6,0,0,0,4.753
138,6,0,0,0,4.742
139,7,0,0,0,4.740
140,7,0,0,0,4.868
141,6,0,0,0,5.018
142,7,0,0,0,4.749
143,9,0,0,0,4.871
144,7,0,0,0,4.745
145,26,0,0,0,4.749
146,3751,3704,0,0,4.737
147,23,0,0,0,4.739
148,17,0,0,0,4.741
149,11,0,0,0,4.859
150,7,0,0,0,4.747
151,6,0,0,0,4.870
152,6,0,0,0,4.745
153,6,0,0,0,4.745
154,5,0,0,0,4.744
155,6,0,0,0,4.743
156,7,0,0,0,4.745
157,7,0,0,0,4.743
158,6,0,0,0,4.744
159,9,0,0,0,4.915
160,6,0,0,0,4.752
