epoch,phase,lookup_avg_ns,lookup_max_ns,clock_ns_per_op
0,0,3.620,7.618,5680.465
1,0,3.638,59.090,5571.271
2,0,3.626,8.693,4993.360
3,0,3.632,7.813,5202.861
4,1,3.504,7.521,4898.230
5,1,3.461,7.423,5459.244
6,1,3.406,29.106,5003.615
7,1,3.504,8.693,4666.167
8,1,3.351,7.325,4607.467
9,1,4.243,8.009,5217.023
10,1,3.541,7.911,4959.762
11,1,3.669,58.699,4956.636
12,1,3.980,7.423,7750.476
13,1,3.687,58.797,5323.874
14,1,3.534,7.814,4874.301
15,1,3.632,8.302,6679.821
16,2,3.809,8.400,5171.021
17,2,3.534,107.827,5070.226
18,3,3.455,7.130,5129.804
19,3,3.498,18.557,5954.234
20,3,4.273,18.167,5384.331
21,3,6.483,7.325,4555.605
22,3,3.382,87.121,4606.002
23,3,6.373,12.990,4776.338
24,3,3.455,29.594,4768.231
25,3,3.412,7.521,5212.433
26,3,3.400,71.299,4755.534
27,3,3.608,9.279,6453.716
28,3,4.554,9.376,5601.256
29,3,3.650,27.152,4938.762
