# exp1a store time cost (batch-amortized). N=4096 timed_ops=100000 reps=2 warm=100000
# B: main=2048 (n_batches=48), xval=1024 (n_batches=97)
# dynblock: psn_dynblock=收敛后冻结(预热 adaptive=1, 记录收敛 S), psn_dynblock_fixed=S=4096 固定
# alloc_mode: pooled=一次性预分配复用(主结果) perstore=逐 store malloc/free(第 5 条正交)
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查); block_S=0 表示非 dynblock
# n_malloc/n_free: pooled 恒 0; perstore=计时期逐 store malloc/free 实计数(约 reps*timed_ops)
method,alloc_mode,payload,N,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,floor_ns,block_S,n_malloc,n_free,n_resize
# --- B=2048 (main): floor median=0.276 ns/op, samples=96 ---
fifo_bounded,pooled,256,4096,2048,48,2,10.522,2.104,11.464,11.576,22.302,0.276,0,0,0,0
chained_hash_bounded,pooled,256,4096,2048,48,2,10.647,0.185,10.623,10.768,11.845,0.276,0,0,0,0
balanced_tree_bounded,pooled,256,4096,2048,48,2,46.807,2.425,46.252,47.562,60.416,0.276,0,0,0,0
psn_dynblock,pooled,256,4096,2048,48,2,7.659,0.141,7.644,7.678,8.946,0.276,256,0,0,0
psn_dynblock_fixed,pooled,256,4096,2048,48,2,10.929,1.091,10.636,11.271,19.754,0.276,4096,0,0,0
index_only,pooled,256,4096,2048,48,2,1.104,0.076,1.096,1.099,1.839,0.276,0,0,0,0
fifo_bounded,pooled,512,4096,2048,48,2,12.557,0.150,12.558,12.666,13.379,0.276,0,0,0,0
chained_hash_bounded,pooled,512,4096,2048,48,2,12.823,0.290,12.794,13.064,14.089,0.276,0,0,0,0
balanced_tree_bounded,pooled,512,4096,2048,48,2,48.968,1.624,48.714,49.654,58.450,0.276,0,0,0,0
psn_dynblock,pooled,512,4096,2048,48,2,11.312,0.269,11.296,11.413,12.794,0.276,512,0,0,0
psn_dynblock_fixed,pooled,512,4096,2048,48,2,16.083,0.300,16.162,16.357,16.914,0.276,4096,0,0,0
index_only,pooled,512,4096,2048,48,2,1.096,0.002,1.096,1.098,1.102,0.276,0,0,0,0
fifo_bounded,pooled,1024,4096,2048,48,2,23.248,0.225,23.218,23.433,24.455,0.276,0,0,0,0
chained_hash_bounded,pooled,1024,4096,2048,48,2,23.508,0.527,23.440,23.856,25.556,0.276,0,0,0,0
balanced_tree_bounded,pooled,1024,4096,2048,48,2,53.767,1.594,53.392,54.196,64.612,0.276,0,0,0,0
psn_dynblock,pooled,1024,4096,2048,48,2,22.735,0.561,22.707,23.043,24.089,0.276,1024,0,0,0
psn_dynblock_fixed,pooled,1024,4096,2048,48,2,31.670,2.468,32.675,34.082,36.834,0.276,4096,0,0,0
index_only,pooled,1024,4096,2048,48,2,1.097,0.007,1.097,1.099,1.159,0.276,0,0,0,0
fifo_bounded,pooled,2048,4096,2048,48,2,43.819,0.771,43.524,44.937,48.760,0.276,0,0,0,0
chained_hash_bounded,pooled,2048,4096,2048,48,2,44.369,1.138,43.911,45.452,49.727,0.276,0,0,0,0
balanced_tree_bounded,pooled,2048,4096,2048,48,2,68.111,1.268,67.697,69.128,76.029,0.276,0,0,0,0
psn_dynblock,pooled,2048,4096,2048,48,2,42.215,0.452,42.069,42.848,44.057,0.276,2048,0,0,0
psn_dynblock_fixed,pooled,2048,4096,2048,48,2,51.923,2.044,52.270,54.987,56.669,0.276,4096,0,0,0
index_only,pooled,2048,4096,2048,48,2,1.097,0.005,1.096,1.099,1.138,0.276,0,0,0,0
fifo_bounded,pooled,4096,4096,2048,48,2,89.218,6.170,86.543,98.868,111.493,0.276,0,0,0,0
chained_hash_bounded,pooled,4096,4096,2048,48,2,91.530,7.536,88.564,99.927,121.482,0.276,0,0,0,0
balanced_tree_bounded,pooled,4096,4096,2048,48,2,119.394,18.516,112.202,133.449,217.862,0.276,0,0,0,0
psn_dynblock,pooled,4096,4096,2048,48,2,89.071,3.361,87.838,94.536,106.417,0.276,4096,0,0,0
psn_dynblock_fixed,pooled,4096,4096,2048,48,2,93.503,12.272,88.842,103.646,165.868,0.276,4096,0,0,0
index_only,pooled,4096,4096,2048,48,2,1.097,0.002,1.096,1.099,1.108,0.276,0,0,0,0
# --- B=1024 (xval): floor median=0.189 ns/op, samples=194 ---
fifo_bounded,pooled,256,4096,1024,97,2,8.719,0.169,8.699,8.744,9.836,0.189,0,0,0,0
chained_hash_bounded,pooled,256,4096,1024,97,2,8.833,0.234,8.775,9.189,9.409,0.189,0,0,0,0
balanced_tree_bounded,pooled,256,4096,1024,97,2,45.690,1.709,45.726,46.591,54.785,0.189,0,0,0,0
psn_dynblock,pooled,256,4096,1024,97,2,7.631,0.081,7.623,7.682,8.232,0.189,256,0,0,0
psn_dynblock_fixed,pooled,256,4096,1024,97,2,10.837,0.252,10.847,10.959,12.052,0.189,4096,0,0,0
index_only,pooled,256,4096,1024,97,2,1.101,0.024,1.100,1.102,1.103,0.189,0,0,0,0
fifo_bounded,pooled,512,4096,1024,97,2,12.337,0.275,12.291,12.476,14.331,0.189,0,0,0,0
chained_hash_bounded,pooled,512,4096,1024,97,2,12.777,0.356,12.737,12.967,14.864,0.189,0,0,0,0
balanced_tree_bounded,pooled,512,4096,1024,97,2,49.550,1.576,49.251,50.092,60.628,0.189,0,0,0,0
psn_dynblock,pooled,512,4096,1024,97,2,11.142,0.262,11.144,11.265,12.312,0.189,512,0,0,0
psn_dynblock_fixed,pooled,512,4096,1024,97,2,15.816,0.148,15.798,15.893,16.588,0.189,4096,0,0,0
index_only,pooled,512,4096,1024,97,2,1.100,0.004,1.100,1.102,1.103,0.189,0,0,0,0
fifo_bounded,pooled,1024,4096,1024,97,2,23.225,0.338,23.205,23.386,25.621,0.189,0,0,0,0
