"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.239.131","192.168.239.2","DNS","90","Standard query 0xd4e6 A main.vscode-cdn.net OPT"
"2","0.000156","192.168.239.130","192.168.239.2","DNS","90","Standard query 0xa46b A main.vscode-cdn.net OPT"
"3","0.000329","192.168.239.133","192.168.239.2","DNS","90","Standard query 0xdfed A main.vscode-cdn.net OPT"
"4","0.000459","192.168.239.132","192.168.239.2","DNS","90","Standard query 0xf186 A main.vscode-cdn.net OPT"
"5","0.000671","192.168.239.131","192.168.239.2","DNS","90","Standard query 0x9283 HTTPS main.vscode-cdn.net OPT"
"6","0.001046","192.168.239.130","192.168.239.2","DNS","90","Standard query 0x99f3 HTTPS main.vscode-cdn.net OPT"
"7","0.001186","192.168.239.133","192.168.239.2","DNS","90","Standard query 0x534a HTTPS main.vscode-cdn.net OPT"
"8","0.001290","192.168.239.132","192.168.239.2","DNS","90","Standard query 0x34a8 HTTPS main.vscode-cdn.net OPT"
"9","0.002573","192.168.239.2","192.168.239.131","DNS","369","Standard query response 0xd4e6 A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net A 13.107.253.49 A 13.107.226.49 OPT"
"10","0.002590","192.168.239.2","192.168.239.130","DNS","369","Standard query response 0xa46b A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net A 13.107.253.49 A 13.107.226.49 OPT"
"11","0.002597","192.168.239.2","192.168.239.133","DNS","369","Standard query response 0xdfed A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net A 13.107.226.49 A 13.107.253.49 OPT"
"12","0.002603","192.168.239.2","192.168.239.132","DNS","369","Standard query response 0xf186 A main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net A 13.107.253.49 A 13.107.226.49 OPT"
"13","0.003610","192.168.239.2","192.168.239.131","DNS","412","Standard query response 0x9283 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"14","0.003640","192.168.239.2","192.168.239.133","DNS","412","Standard query response 0x534a HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"15","0.003656","192.168.239.2","192.168.239.130","DNS","412","Standard query response 0x99f3 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"16","0.004469","192.168.239.131","192.168.239.2","DNS","103","Standard query 0x39cc HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"17","0.004617","192.168.239.130","192.168.239.2","DNS","103","Standard query 0x08dd HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"18","0.004719","192.168.239.133","192.168.239.2","DNS","103","Standard query 0xd1ee HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"19","0.004847","192.168.239.132","192.168.239.2","DNS","103","Standard query 0xbf1a HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"20","0.005953","192.168.239.2","192.168.239.132","DNS","412","Standard query response 0x34a8 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"21","0.007418","192.168.239.2","192.168.239.131","DNS","178","Standard query response 0x39cc HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"22","0.007441","192.168.239.2","192.168.239.130","DNS","178","Standard query response 0x08dd HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"23","0.007451","192.168.239.2","192.168.239.133","DNS","178","Standard query response 0xd1ee HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"24","0.007461","192.168.239.2","192.168.239.132","DNS","178","Standard query response 0xbf1a HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.NET OPT"
"25","0.008164","192.168.239.132","13.107.253.49","TCP","74","48182  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2200942723 TSecr=0 WS=128"
"26","0.075849","13.107.253.49","192.168.239.132","TCP","58","443  >  48182 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
"27","0.076034","192.168.239.132","13.107.253.49","TCP","54","48182  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"28","0.076491","192.168.239.132","13.107.253.49","TCP","1514","48182  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=1460 [TCP PDU reassembled in 29]"
"29","0.076507","192.168.239.132","13.107.253.49","TLSv1.3","722","Client Hello (SNI=main.vscode-cdn.net)"
"30","0.076623","13.107.253.49","192.168.239.132","TCP","54","443  >  48182 [ACK] Seq=1 Ack=1461 Win=64240 Len=0"
"31","0.076648","13.107.253.49","192.168.239.132","TCP","54","443  >  48182 [ACK] Seq=1 Ack=2129 Win=64240 Len=0"
"32","0.212610","13.107.253.49","192.168.239.132","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"33","0.212846","192.168.239.132","13.107.253.49","TCP","54","48182  >  443 [ACK] Seq=2129 Ack=100 Win=64141 Len=0"
"34","0.213174","192.168.239.132","13.107.253.49","TLSv1.3","996","Change Cipher Spec, Client Hello (SNI=main.vscode-cdn.net)"
"35","0.213297","13.107.253.49","192.168.239.132","TCP","54","443  >  48182 [ACK] Seq=100 Ack=3071 Win=64240 Len=0"
